d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
0.7889,0.5828,0.6843,0.7115,0.8596,0.614,0.6273,89.0909,36.3636,62.7273
0.2741,0.7725,0.9417,0.5769,0.8596,0.7895,0.5364,89.0909,18.1818,53.6364
