trial,delta_stimulation,delta_target,reversed,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed,n_block,within_block_counter
0,1.4,1.2,False,1,yes ,yes ,0.98,2.984175205230713,0.2718968275501559,2.6028800010681152,1,False,1,0
1,1.2,1.0,False,1,yes ,yes ,0.82,2.989503860473633,0.3200341588587594,1.194854974746704,8,False,1,1
0,0.2,0.2,False,3,0,0,0,0,0,1.020117998123169,5,True,1,0
0,0.2,0.4,False,0,no ,no ,0.86,7.428627014160156,0.3848139277889375,0.9636788368225098,4,False,1,1
1,0.4,0.4,True,1,yes ,yes ,0.99,2.865122079849243,0.14497148291250955,1.867779016494751,2,False,1,2
2,0.4,0.54,True,0,no ,no ,0.79,6.980825185775757,0.15973213270375214,0.7549729347229004,3,False,1,3
2,1.0,0.8,False,1,yes ,yes ,0.99,3.249833822250366,0.14117090381982866,1.291666030883789,9,False,1,2
3,0.54,0.54,True,1,yes ,yes ,0.99,2.947319984436035,0.1434077047543507,1.503035306930542,6,False,1,4
4,0.54,0.54,False,1,yes ,yes ,0.99,2.980607032775879,0.10981127115036415,0.9455859661102295,1,False,1,5
3,0.8,0.6000000000000001,False,1,yes ,yes ,0.99,3.020137071609497,0.24088806850398153,2.606595754623413,3,False,1,3
5,0.54,0.44000000000000006,False,1,yes ,yes ,0.99,2.9315736293792725,0.3909219756054413,1.0491306781768799,8,False,1,6
6,0.44000000000000006,0.44000000000000006,False,1,yes ,yes ,0.88,3.1826460361480713,0.34733617018884405,1.8981890678405762,6,False,1,7
7,0.44000000000000006,0.5800000000000001,True,0,no ,no ,0.86,5.956763982772827,0.14303003261554853,0.972369909286499,4,False,1,8
8,0.5800000000000001,0.7200000000000001,False,0,no ,no ,0.85,5.991549730300903,0.15342023308708216,0.7532579898834229,9,False,1,9
9,0.7200000000000001,0.7200000000000001,True,1,yes ,yes ,0.99,2.971778154373169,0.1478173387601782,1.6012506484985352,2,False,1,10
4,0.6000000000000001,0.4000000000000001,False,1,yes ,yes ,0.99,2.918743848800659,0.17074766391833762,3.408687114715576,3,False,1,4
0,0.7200000000000001,0.7200000000000001,True,3,0,0,0,0,0,0.34946608543395996,8,True,1,11
5,0.4000000000000001,0.54,True,0,no ,no ,0.95,6.2134058475494385,0.18308182758203645,2.3869738578796387,7,False,1,5
0,0.7200000000000001,0.7200000000000001,True,2,no ,no ,0.22,10.000000715255737,0.3178914390130354,0.9433519840240479,5,False,1,12
6,0.54,0.68,False,0,no ,no ,0.52,3.183692693710327,0.3215806486209728,1.3186888694763184,9,False,1,6
7,0.68,0.68,True,1,yes ,yes ,0.99,2.9664580821990967,0.12440708585451386,1.65580415725708,1,False,1,7
10,0.7200000000000001,0.7200000000000001,False,1,yes ,yes ,0.99,2.939743995666504,0.36482307000363845,3.2642009258270264,7,False,1,13
8,0.68,0.68,False,1,yes ,yes ,0.99,3.015209913253784,0.20278682140079846,2.975210428237915,6,False,1,8
9,0.68,0.8200000000000001,True,0,no ,no ,0.77,5.69225811958313,0.27694199581940704,8.606872797012329,3,False,1,9
11,0.7200000000000001,0.6200000000000001,False,1,yes ,yes ,0.99,3.05661678314209,0.1765160480977472,3.3069260120391846,1,False,1,14
12,0.6200000000000001,0.7600000000000001,True,0,no ,no ,0.31,3.0861451625823975,0.3345959060728879,2.078997850418091,2,False,1,15
10,0.8200000000000001,0.9600000000000001,False,0,no ,no ,0.78,6.481536865234375,0.2967396458857149,4.860428094863892,6,False,1,10
0,0.9600000000000001,0.9600000000000001,False,3,0,0,0,0,0,10.393399000167847,3,True,1,11
11,0.9600000000000001,1.1,False,0,no ,no ,0.47,2.866192102432251,0.21201498071749758,2.3226001262664795,5,False,1,12
0,1.1,1.1,False,3,0,0,0,0,0,10.126810073852539,1,True,1,13
13,0.7600000000000001,0.9000000000000001,False,0,no ,no ,0.44,3.2503788471221924,0.34011626522274874,6.740510940551758,6,False,1,16
12,1.1,1.2400000000000002,False,0,no ,no ,0.78,6.2617998123168945,0.22857715041531596,0.6032049655914307,8,False,1,14
0,1.2400000000000002,1.2400000000000002,False,3,0,0,0,0,0,10.23924207687378,9,True,1,15
0,0.9000000000000001,0.9000000000000001,False,3,0,0,0,0,0,10.077325105667114,3,True,1,17
14,0.9000000000000001,0.9000000000000001,True,1,yes ,yes ,0.99,3.0027310848236084,0.2678732672902173,1.4739282131195068,4,False,2,0
13,1.2400000000000002,1.2400000000000002,True,1,yes ,yes ,0.99,3.0869052410125732,0.3157707775756683,1.5381598472595215,5,False,1,16
15,0.9000000000000001,0.9000000000000001,False,1,yes ,yes ,0.99,3.090816020965576,0.2712924223980266,2.008430004119873,2,False,2,1
14,1.2400000000000002,1.2400000000000002,False,1,yes ,yes ,0.99,2.87457275390625,0.39539288026882147,2.004673957824707,8,False,1,17
16,0.9000000000000001,0.8000000000000002,False,1,yes ,yes ,0.99,3.130596160888672,0.1812376593869603,1.8573307991027832,1,False,2,2
17,0.8000000000000002,0.8000000000000002,False,1,yes ,yes ,0.99,3.0735559463500977,0.29430242377051863,1.415867805480957,4,False,2,3
15,1.2400000000000002,1.1400000000000001,False,1,yes ,yes ,0.99,3.0395138263702393,0.3281791213032722,4.368945837020874,2,False,1,18
16,1.1400000000000001,1.1400000000000001,False,1,yes ,yes ,0.99,3.142712116241455,0.23072197590447885,1.3048923015594482,8,False,1,19
17,1.1400000000000001,1.1400000000000001,False,1,yes ,yes ,0.99,3.048043966293335,0.3121139118800439,1.8621182441711426,5,False,1,20
18,1.1400000000000001,1.04,False,1,yes ,yes ,0.99,2.928076982498169,0.14575458376094447,1.4327166080474854,6,False,1,21
19,1.04,1.04,False,1,yes ,yes ,0.99,3.1479201316833496,0.18750795196651457,2.079263925552368,3,False,1,22
18,0.8000000000000002,0.9400000000000002,True,0,no ,no ,0.87,6.972050905227661,0.11217951065248966,0.6279749870300293,8,False,2,4
20,1.04,1.04,False,1,yes ,yes ,0.99,3.111929178237915,0.30045596908033945,0.4349963665008545,1,False,1,23
21,1.04,0.9400000000000001,False,1,yes ,yes ,0.99,3.0325379371643066,0.17502412770360748,0.6679489612579346,7,False,1,24
19,0.9400000000000002,0.9400000000000002,True,1,yes ,yes ,0.99,3.015270948410034,0.11414099552492074,1.3260531425476074,9,False,2,5
22,0.9400000000000001,1.08,True,0,no ,no ,0.26,2.9843950271606445,0.3094366154770508,1.5520730018615723,5,False,1,25
0,1.08,1.08,True,3,0,0,0,0,0,0.3959627151489258,8,True,1,26
20,0.9400000000000002,0.9400000000000002,False,1,yes ,yes ,0.99,2.919656991958618,0.32203575076115787,1.8433430194854736,2,False,2,6
21,0.9400000000000002,0.8400000000000002,False,1,yes ,yes ,0.99,2.954303026199341,0.12434232200330446,4.901113748550415,1,False,2,7
22,0.8400000000000002,0.8400000000000002,False,1,yes ,yes ,0.99,2.9840610027313232,0.1535199786639083,2.5083069801330566,4,False,2,8
23,0.8400000000000002,0.8400000000000002,False,1,yes ,yes ,0.99,3.02195405960083,0.15030458558054927,2.3869829177856445,6,False,2,9
24,0.8400000000000002,0.7400000000000002,False,1,yes ,yes ,0.99,3.2291667461395264,0.18910211568407356,1.6332871913909912,3,False,2,10
25,0.7400000000000002,0.8800000000000002,True,0,no ,no ,0.94,6.292698860168457,0.11126913860422019,2.0018320083618164,2,False,2,11
26,0.8800000000000002,0.8800000000000002,True,1,yes ,yes ,0.99,3.088016986846924,0.321820053750676,2.021610975265503,8,False,2,12
23,1.08,1.08,True,1,yes ,yes ,0.99,3.0923187732696533,0.25951485058529344,2.7407681941986084,7,False,1,27
24,1.08,1.08,False,1,yes ,yes ,0.99,3.0289552211761475,0.19723029436559875,2.1550021171569824,6,False,1,28
25,1.08,1.2200000000000002,True,0,no ,no ,0.5,3.1261889934539795,0.14402971162208325,1.6307079792022705,5,False,1,29
26,1.2200000000000002,1.2200000000000002,True,1,yes ,yes ,0.71,3.327672004699707,0.29601760854845344,1.0815160274505615,9,False,1,30
27,0.8800000000000002,0.8800000000000002,False,1,yes ,yes ,0.99,3.049651861190796,0.3917656994124121,4.703435897827148,1,False,2,13
28,0.8800000000000002,1.0200000000000002,True,0,no ,no ,0.54,6.22100567817688,0.35030406916056545,0.74812912940979,8,False,2,14
27,1.2200000000000002,1.2200000000000002,False,1,yes ,yes ,0.99,3.0433058738708496,0.19092067951024788,2.231142282485962,5,False,1,31
28,1.2200000000000002,1.12,False,1,yes ,yes ,0.99,3.174438238143921,0.3574557579674722,9.951244115829468,6,False,1,32
29,1.0200000000000002,1.0200000000000002,True,1,yes ,yes ,0.99,3.108537197113037,0.20492209913771808,3.7205660343170166,7,False,2,15
29,1.12,1.12,False,1,yes ,yes ,0.99,3.12225604057312,0.38745324247744384,9.263391017913818,3,False,1,33
30,1.12,1.2600000000000002,True,0,no ,no ,0.73,6.615896701812744,0.131861493012278,1.125020980834961,9,False,1,34
31,1.2600000000000002,1.2600000000000002,True,1,yes ,yes ,0.95,3.109227180480957,0.16706156240766618,8.838006019592285,6,False,1,35
32,1.2600000000000002,1.2600000000000002,False,1,yes ,yes ,0.99,2.9824230670928955,0.2914745588168738,3.899449110031128,7,False,1,36
33,1.2600000000000002,1.4000000000000004,True,0,no ,no ,0.78,6.356551170349121,0.16824433477750633,2.017763137817383,5,False,1,37
0,1.4000000000000004,1.4000000000000004,True,3,0,0,0,0,0,10.000350952148438,1,True,1,38
0,1.4000000000000004,1.4000000000000004,True,3,0,0,0,0,0,10.122802019119263,4,True,1,39
0,1.4000000000000004,1.4000000000000004,True,3,0,0,0,0,0,10.2128267288208,6,True,1,40
34,1.4000000000000004,1.4000000000000004,True,1,yes ,yes ,0.99,2.9069271087646484,0.3648139723113093,1.171151876449585,8,False,1,41
35,1.4000000000000004,1.4000000000000004,False,1,yes ,yes ,0.99,2.988142967224121,0.13049953279187607,1.7269089221954346,3,False,1,42
36,1.4000000000000004,1.3000000000000003,False,1,yes ,yes ,0.99,3.116395950317383,0.31502364291246565,1.5343549251556396,2,False,1,43
37,1.3000000000000003,1.3000000000000003,False,1,yes ,yes ,0.99,2.97622013092041,0.1291434336122364,1.4006309509277344,1,False,1,44
38,1.3000000000000003,1.3000000000000003,False,1,yes ,yes ,0.99,3.101202964782715,0.23307141577402754,1.113394021987915,6,False,1,45
39,1.3000000000000003,1.2000000000000002,False,1,yes ,yes ,0.99,3.0007333755493164,0.3157381314927765,1.0845069885253906,8,False,1,46
40,1.2000000000000002,1.2000000000000002,False,1,yes ,yes ,0.99,2.9903669357299805,0.16793064129198693,1.2842679023742676,4,False,1,47
41,1.2000000000000002,1.2000000000000002,False,1,yes ,yes ,0.98,3.0323519706726074,0.39216594655121917,1.2288258075714111,1,False,1,48
42,1.2000000000000002,1.1,False,1,yes ,yes ,0.99,3.043748140335083,0.3528799048921156,1.9988758563995361,3,False,1,49
43,1.1,1.1,False,1,yes ,yes ,0.99,3.0658371448516846,0.3460581513101512,2.097655773162842,6,False,1,50
44,1.1,1.1,False,1,yes ,yes ,0.99,3.2553181648254395,0.2630133460286671,1.5918638706207275,7,False,1,51
45,1.1,1.0,False,1,yes ,yes ,0.99,3.153125047683716,0.11936170227230142,1.3429639339447021,5,False,1,52
46,1.0,1.0,False,1,yes ,yes ,0.99,3.1087050437927246,0.2977252711295372,1.0773239135742188,2,False,1,53
47,1.0,1.0,False,1,yes ,yes ,0.99,2.8766698837280273,0.21088090031877874,2.766474962234497,4,False,1,54
48,1.0,0.9,False,1,yes ,yes ,0.99,3.119999408721924,0.144788640944635,2.513923168182373,1,False,1,55
49,0.9,0.9,False,1,yes ,yes ,0.99,3.0611140727996826,0.253826087329299,1.3184151649475098,5,False,1,56
