trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
49,1,0,1,yes ,yes ,0.99,0.22449092770547951,3.2164740562438965,3.7749249935150146,5,False,2,36
50,1,1,1,yes ,yes ,0.99,0.1297292869350643,2.957012891769409,4.7751710414886475,7,False,2,37
51,0,1,1,yes ,yes ,0.99,0.18552259042943947,3.0968220233917236,5.587573051452637,9,False,2,38
52,0,0,1,yes ,yes ,0.99,0.29550341955775966,2.9611079692840576,7.681389093399048,5,False,2,39
53,1,1,1,yes ,yes ,0.96,0.20325525905033798,3.1713709831237793,6.898269891738892,3,False,2,40
54,0,0,0,no ,no ,0.46,0.3880410609594277,3.31070613861084,1.769604206085205,1,False,2,41
55,1,1,1,yes ,yes ,0.99,0.17679848645463847,3.110625743865967,3.021211862564087,5,False,2,42
56,0,0,0,no ,no ,0.56,0.16130155456781187,3.3632349967956543,2.13055682182312,9,False,2,43
57,1,0,1,yes ,yes ,0.99,0.26528971100657706,3.199242115020752,2.5323851108551025,7,False,2,44
58,0,1,1,yes ,yes ,0.99,0.17092004881316314,3.0464179515838623,5.443089962005615,2,False,2,45
59,1,1,1,yes ,yes ,0.99,0.1963539138584132,3.5871407985687256,3.94963002204895,9,False,2,46
60,0,0,0,no ,no ,0.48,0.2897417734428693,6.3654680252075195,3.737722158432007,4,False,2,47
61,1,0,1,yes ,yes ,0.99,0.16251157955999207,3.089217185974121,3.8521311283111572,2,False,2,48
62,1,1,1,yes ,yes ,0.99,0.3756132796448355,3.101590156555176,5.729434013366699,6,False,2,49
63,0,1,1,yes ,yes ,0.99,0.3563850643347318,3.0441019535064697,1.2808427810668945,4,False,3,0
64,1,0,1,yes ,yes ,0.99,0.23848499118546337,3.073190927505493,5.799252986907959,2,False,3,1
65,0,1,1,yes ,yes ,0.99,0.15784739224430672,3.0098910331726074,1.187924861907959,8,False,3,2
66,1,0,0,no ,no ,0.43,0.13921733843537332,2.928081750869751,4.989572763442993,6,False,3,3
67,0,1,1,yes ,yes ,0.99,0.37237609874430555,3.204357862472534,1.626981258392334,4,False,3,4
68,0,0,1,yes ,yes ,0.99,0.21627894105084716,3.15922474861145,2.1892271041870117,8,False,3,5
69,0,1,1,yes ,yes ,0.99,0.36672967311515214,3.1063790321350098,2.516904354095459,3,False,3,6
70,0,0,0,no ,no ,0.76,0.3848269327095195,6.186617136001587,7.0238049030303955,1,False,3,7
71,1,1,1,yes ,yes ,0.99,0.36796335579211525,3.258211851119995,2.059217929840088,9,False,3,8
72,1,1,1,yes ,yes ,0.99,0.33069219454098764,2.918884038925171,1.610403060913086,5,False,3,9
73,1,0,0,no ,no ,0.66,0.1880854134452724,3.1165030002593994,2.581162929534912,3,False,3,10
74,1,0,1,yes ,yes ,0.99,0.1803412267394392,3.1532528400421143,1.789942979812622,7,False,3,11
75,1,0,1,yes ,yes ,0.99,0.20940003127933232,3.2506039142608643,4.05109977722168,1,False,3,12
76,1,0,1,yes ,yes ,0.99,0.19257996812444717,3.0666098594665527,6.2807958126068115,6,False,3,13
77,1,1,1,yes ,yes ,0.99,0.3830743111518592,3.041633129119873,2.044059991836548,8,False,3,14
78,1,1,1,yes ,yes ,0.99,0.20031652024761687,3.17138409614563,6.327173948287964,2,False,3,15
79,1,0,1,yes ,yes ,0.99,0.23354185064502772,3.133484125137329,3.5268359184265137,6,False,3,16
80,1,1,1,yes ,yes ,0.99,0.25235635922930155,3.048635959625244,3.450716972351074,8,False,3,17
81,1,1,1,yes ,yes ,0.99,0.2988433131677266,3.035977840423584,7.040394306182861,2,False,3,18
82,1,0,1,yes ,yes ,0.99,0.35328062650390357,3.252694845199585,4.104063987731934,4,False,3,19
83,0,0,0,no ,no ,0.44,0.17774672589568338,3.1496498584747314,6.303362131118774,6,False,3,20
