trial,delta_stimulation,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed
1,0,0,no ,no ,0.75,2.6484322547912598,0.20319336836169533,2.1665427684783936,9,False
2,1.5,0,no ,no ,0.85,2.683655023574829,0.1807863090538035,2.8411552906036377,8,False
0,1.5,3,0,0,0,0,0.1807863090538035,10.216895818710327,1,True
3,0,1,yes ,yes ,0.99,2.8706610202789307,0.12351207608944424,2.306579113006592,2,False
4,1.5,1,yes ,yes ,0.99,2.893554925918579,0.14655258228895646,5.598318815231323,4,False
