d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
2.7957,7.2684,-0.7095,0.976,0.7544,0.0175,0.8818,78.1818,98.1818,88.1818
2.2175,9.1558,-0.9986,0.9416,0.5439,0.0175,0.7727,56.3636,98.1818,77.2727
