trial,delta_stimulation,delta_target,reversed,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed,n_block,within_block_counter
0,0.2,0.2,False,3,0,0,0.0,0.0,0.0,1.2623820304870603,9,True,1,0
0,0.2,0.1,False,1,yes ,yes ,0.99,3.243475914001465,0.3143142029339769,0.7236301898956299,3,False,1,1
0,1.4,1.2,False,1,yes ,yes ,0.99,2.778463125228882,0.1876586413191812,1.3818111419677734,2,False,1,0
1,1.2,1.0,False,1,yes ,yes ,0.99,3.1507110595703125,0.1276941937909448,0.9602351188659668,8,False,1,1
1,0.2,0.0,False,1,yes ,yes ,0.99,2.859144926071167,0.3747428999015277,1.944210767745972,1,False,1,2
2,1.0,0.8,False,1,yes ,yes ,0.99,3.091125011444092,0.3168541151248946,0.8918211460113525,3,False,1,2
2,0.2,-0.1,False,1,yes ,yes ,0.99,3.046617031097412,0.2581933539588936,1.0902678966522217,2,False,1,3
3,0.2,0.04,True,0,no ,no ,0.87,2.617189884185791,0.3534228585818989,0.711298942565918,7,False,1,4
0,0.2,0.04,True,3,0,0,0.0,0.0,0.0,0.906641960144043,6,True,1,5
3,0.8,0.6000000000000001,False,1,yes ,yes ,0.99,3.109668970108032,0.2951298781260094,0.974898099899292,5,False,1,3
0,0.6000000000000001,0.6000000000000001,False,3,0,0,0.0,0.0,0.0,1.437047004699707,8,True,1,4
0,0.2,0.04,True,3,0,0,0.0,0.0,0.0,0.5336098670959473,2,True,1,6
4,0.6000000000000001,0.4000000000000001,False,1,yes ,yes ,0.99,2.9870381355285645,0.2242528693352988,0.7782247066497803,9,False,1,5
5,0.4000000000000001,0.2,False,1,yes ,yes ,0.99,3.05282998085022,0.2188908318897621,1.0132019519805908,3,False,1,6
4,0.2,0.04,True,1,yes ,yes ,0.99,3.259175062179565,0.1654464886183461,0.6737825870513916,5,False,1,7
5,0.2,0.04,False,1,yes ,yes ,0.99,2.8553030490875244,0.107417805025676,0.6407790184020996,1,False,1,8
0,0.2,0.2,False,3,0,0,0.0,0.0,0.0,1.0344130992889404,4,True,1,7
0,0.2,0.2,False,3,0,0,0.0,0.0,0.0,1.3091671466827393,8,True,1,8
0,0.2,0.2,False,3,0,0,0.0,0.0,0.0,0.965351104736328,5,True,1,9
6,0.2,5.551115123125783e-17,False,1,yes ,yes ,0.99,2.899733066558838,0.1307100313004208,0.9479320049285888,3,False,1,10
7,0.2,0.14,True,0,no ,no ,0.81,2.556546926498413,0.3897517220099933,1.0471930503845217,4,False,1,11
6,0.2,0.18,True,0,no I ,no I ,0.72,2.607595682144165,0.2895317641172118,1.3582019805908203,7,False,1,9
7,0.2,0.18,True,1,yes ,yes ,0.99,2.8272268772125244,0.3684508732564797,0.9759998321533204,1,False,1,10
8,0.2,0.14,True,1,yes ,yes ,0.99,2.9236910343170166,0.3514782852212456,1.1389570236206057,5,False,1,12
9,0.2,0.14,False,1,yes ,yes ,0.99,3.13677716255188,0.3917142620575231,0.795194149017334,9,False,1,13
10,0.2,0.2800000000000001,True,0,no ,no ,0.57,2.5965850353240967,0.1406124418479386,0.7359480857849121,4,False,1,14
8,0.2,0.18,False,1,yes ,yes ,0.99,2.798743963241577,0.2429925696020683,0.4013168811798095,6,False,1,11
9,0.2,0.08,False,1,yes ,yes ,0.99,2.8364269733428955,0.3786953322599984,1.0826821327209473,1,False,1,12
10,0.2,0.08,False,1,yes ,yes ,0.99,2.890406847000122,0.3289399138210112,0.9242141246795654,3,False,1,13
11,0.2,0.08,False,1,yes ,yes ,0.99,2.7986648082733154,0.3425046594916443,0.9747679233551024,5,False,1,14
11,0.2800000000000001,0.2800000000000001,True,1,yes ,yes ,0.99,3.171871900558472,0.2924165248566542,1.017765998840332,7,False,1,15
0,0.2,0.08,False,3,0,0,0.0,0.0,0.0,1.1172029972076416,8,True,1,15
0,0.2,0.08,False,3,0,0,0.0,0.0,0.0,1.1489808559417725,9,True,1,16
12,0.2800000000000001,0.2800000000000001,False,1,yes ,yes ,0.99,2.9505231380462646,0.2111475496214098,0.9865889549255372,6,False,1,16
12,0.2,0.22,True,0,no ,no ,0.74,2.848726749420166,0.2265755326325772,1.0402171611785889,7,False,1,17
13,0.22,0.22,True,1,yes ,yes ,0.99,2.832158088684082,0.2152479307844938,1.3419368267059326,2,False,1,18
0,0.2800000000000001,0.2800000000000001,False,3,0,0,0.0,0.0,0.0,1.115267276763916,5,True,1,17
14,0.22,0.22,False,1,yes ,yes ,0.99,2.823491096496582,0.1479990986519103,0.7230219841003418,3,False,1,19
13,0.2800000000000001,0.18,False,1,yes ,yes ,0.99,3.1272006034851074,0.1788670445677145,0.8126568794250488,9,False,1,18
14,0.2,0.18,False,1,yes ,yes ,0.99,3.067970037460327,0.3541614203911661,0.7628579139709473,1,False,1,19
15,0.22,0.12,False,1,yes ,yes ,0.99,2.945406913757324,0.1658466938415135,1.1884119510650637,2,False,1,20
0,0.2,0.18,False,3,0,0,0.0,0.0,0.0,0.678459882736206,6,True,1,20
15,0.2,0.32,True,0,no ,no ,0.92,6.989503860473633,0.2400605849028666,0.7611520290374756,8,False,1,21
16,0.2,0.12,False,1,yes ,yes ,0.99,2.748821973800659,0.3450581931305383,1.0016839504241943,5,False,1,21
16,0.32,0.4600000000000001,False,0,no ,no ,0.9,2.752504825592041,0.1081907570282114,0.6592249870300293,9,False,1,22
17,0.2,0.26,True,0,no ,no ,0.88,7.039019107818604,0.2113248171585101,0.6120510101318359,1,False,1,22
17,0.4600000000000001,0.6000000000000001,False,0,no ,no ,0.74,2.6017520427703857,0.1653656694700462,1.1981019973754885,4,False,1,23
18,0.26,0.26,True,1,yes ,yes ,0.99,3.051045179367065,0.2204804811530376,0.6369030475616455,5,False,1,23
19,0.26,0.4,True,0,no ,no ,0.78,2.626579999923706,0.3065515490403783,0.9442498683929444,9,False,1,24
18,0.6000000000000001,0.7400000000000001,False,0,no ,no ,0.79,2.634273052215576,0.3839778098232917,0.9826738834381104,8,False,1,24
20,0.4,0.4,True,1,yes ,yes ,0.99,2.92645001411438,0.122129415327249,1.0045578479766846,3,False,1,25
21,0.4,0.4,False,1,yes ,yes ,0.99,2.960718870162964,0.1229872787280044,1.1319539546966553,5,False,1,26
22,0.4,0.3,False,1,yes ,yes ,0.99,3.292285919189453,0.1220858524638285,1.8206379413604736,1,False,1,27
19,0.7400000000000001,0.8800000000000001,False,0,no ,no ,0.86,2.6229610443115234,0.3462543888569216,1.5906288623809814,4,False,1,25
20,0.8800000000000001,0.8800000000000001,True,1,yes ,yes ,0.99,3.035080909729004,0.2236426913239797,1.3295660018920898,6,False,1,26
23,0.3,0.3,False,1,yes ,yes ,0.99,2.9956870079040527,0.380505206845553,1.0362489223480225,3,False,1,28
21,0.8800000000000001,0.8800000000000001,False,1,yes ,yes ,0.99,2.806806802749634,0.1861513882589815,2.031026840209961,7,False,1,27
24,0.3,0.3,False,1,yes ,yes ,0.99,2.9327139854431152,0.3865310806784583,0.9914398193359376,2,False,1,29
25,0.3,0.44,True,0,no ,no ,0.78,2.6675221920013428,0.2444162226312274,0.9877607822418212,5,False,1,30
22,0.8800000000000001,0.7800000000000001,False,1,yes ,yes ,0.99,2.9528980255126958,0.2290434800407967,0.9966378211975098,3,False,1,28
23,0.7800000000000001,0.9200000000000002,True,0,no I ,no I ,0.57,2.831718921661377,0.2866736567322814,1.5526306629180908,7,False,1,29
24,0.9200000000000002,0.9200000000000002,True,1,yes ,yes ,0.99,3.281290054321289,0.1050441858926196,2.928110122680664,1,False,1,30
26,0.44,0.44,True,1,yes ,yes ,0.99,3.478184938430786,0.1653541504254324,1.0635619163513184,6,False,1,31
25,0.9200000000000002,1.06,True,0,no ,no ,0.76,2.7555131912231445,0.2992470224295057,1.6646099090576172,5,False,1,31
27,0.44,0.44,False,1,yes ,yes ,0.99,3.376634120941162,0.3466656271863974,0.6938199996948242,8,False,1,32
28,0.44,0.3400000000000001,False,1,yes ,yes ,0.99,2.9710042476654053,0.3333507720251746,1.65523099899292,2,False,1,33
