Axis,1,2,3,4,5,6,7,8,9
x,200843,221000,241158,200843,221000,241158,200843,221000,241158
y,161843,161843,161843,182000,182000,182000,202158,202158,202158
z,91515,88088,88491,88491,83452,87080,82847,81235,88491
