trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,1,0,0,no ,no ,0.52,0.370482539081031,2.8747611045837402,3.5117409229278564,8,False,1,1
2,0,0,0,no ,no ,0.52,0.14329137627384225,2.6812708377838135,3.598369836807251,6,False,1,2
3,0,0,0,no ,no ,0.85,0.28492627765898093,2.8077609539031982,3.6098761558532715,2,False,1,3
4,1,0,0,no ,no ,0.69,0.17804741255526368,2.612492084503174,3.872142791748047,4,False,1,4
5,1,1,3,0,0,0,0,0,1.366225242614746,8,True,1,5
6,0,1,1,yes ,yes ,0.99,0.31327582342167165,3.067399263381958,1.0797507762908936,2,False,1,6
7,1,1,1,yes ,yes ,0.99,0.3841133640801,3.0081119537353516,1.4646379947662354,6,False,1,7
8,0,0,0,no ,no ,0.75,0.2681632512897746,2.421469211578369,3.586272954940796,8,False,1,8
9,1,0,0,no ,no ,0.6,0.19292311342352714,2.6726651191711426,3.8360280990600586,4,False,1,9
10,0,1,1,yes ,yes ,0.99,0.13789530364451197,2.6557838916778564,1.9389870166778564,2,False,1,10
11,0,1,1,yes ,yes ,0.99,0.3649299197561544,2.873152017593384,1.0819718837738037,6,False,1,11
12,1,0,0,no ,no ,0.66,0.1427687762681484,2.727797031402588,1.9180381298065186,4,False,1,12
13,1,0,0,no ,no ,0.79,0.3733441610124004,6.584049940109253,3.965329170227051,8,False,1,13
14,1,0,0,no ,no ,0.69,0.23273653546095255,2.8357670307159424,3.9941422939300537,6,False,1,14
15,0,0,0,no ,no ,0.73,0.15907984641496486,2.964885950088501,3.7063231468200684,4,False,1,15
16,0,0,0,no ,no ,0.84,0.17582861988919402,3.328523874282837,1.935115098953247,2,False,1,16
17,0,0,0,no ,no ,0.8,0.14247048995242317,2.960379123687744,3.6742563247680664,8,False,1,17
18,0,1,1,yes ,yes ,0.99,0.24320956941610253,2.784356117248535,1.341912031173706,6,False,1,18
19,1,0,0,no ,no ,0.88,0.3797380505676875,2.7006630897521973,4.009160995483398,4,False,1,19
20,1,1,0,no I ,no I ,0.54,0.2853077186863054,2.7138891220092773,1.18174409866333,8,False,1,20
21,0,0,0,no ,no ,0.97,0.3462731915823467,6.772294044494629,2.0764191150665283,6,False,1,21
22,1,1,3,0,0,0,0,0,10.493715047836304,1,True,1,22
23,1,0,0,no ,no ,0.8,0.13346317673635627,2.9564008712768555,4.710974931716919,7,False,1,23
24,1,1,0,no ,no ,0.7,0.26047933341962026,2.615679979324341,1.2954843044281006,9,False,1,24
25,1,1,1,yes ,yes ,0.99,0.39006753773705505,3.030752182006836,1.399982213973999,3,False,1,25
26,0,1,1,yes ,yes ,0.99,0.12358183104264225,3.1830971240997314,5.708350896835327,1,False,1,26
27,0,1,1,yes ,yes ,0.99,0.2644997438618848,2.962048053741455,1.1852819919586182,9,False,1,27
28,1,0,0,not a ,not a ,0.24,0.2086276946110691,3.082974910736084,2.7404820919036865,3,False,1,28
29,0,1,1,yes ,yes ,0.99,0.2514466076512008,3.06451416015625,1.267914056777954,5,False,1,29
30,1,0,0,no ,no ,0.65,0.31264006964409563,2.8557310104370117,3.756258964538574,1,False,1,30
