d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
1.73,3.691,-0.7548,0.8894,0.5439,0.0526,0.7545,56.3636,94.5455,75.4545
2.0413,9.1914,-1.0867,0.9256,0.4737,0.0175,0.7364,49.0909,98.1818,73.6364
2.3065,9.0305,-0.9541,0.9486,0.5789,0.0175,0.7909,60.0,98.1818,79.0909
