Axis,1,2,3,4,5,6,7,8,9
x,342494,268000,208507,329494,248000,198507,333494,284000,196507
y,472494,439494,447494,404000,337000,385000,314000,308000,320000
z,182000,258000,336000,185000,333000,292000,203000,230000,363000
