d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
1.936,1.0704,-0.0351,0.9145,0.8246,0.1579,0.8455,85.4545,83.6364,84.5455
1.5665,0.7911,0.1496,0.866,0.8246,0.2632,0.7909,85.4545,72.7273,79.0909
