Axis,1,2,3,4,5,6,7,8,9
x,170494,138000,49507,226494,127000,87507,190494,128000,55507
y,180494,143494,135494,51000,33000,63000,0,0,16000
z,44000,32000,195000,20000,89000,75000,21000,64000,130000
