d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
2.5527,2.4033,-0.3435,0.9645,0.8246,0.0526,0.9,85.4545,94.5455,90.0
2.6881,7.782,-0.7633,0.9713,0.7193,0.0175,0.8636,74.5455,98.1818,86.3636
