Axis,1,2,3,4,5,6,7,8,9
x,192494,140000,87507,192494,140000,87507,192494,140000,87507
y,157507,157507,157507,210000,210000,210000,262494,262494,262494
z,214000,214000,226000,210000,213000,235000,200000,210000,220000
