trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,0,0,0,no ,no ,0.85,0.12778582034911667,2.8213517665863037,1.7015409469604492,6,False,1,1
2,0,0,0,no ,no ,0.9,0.2652779165836081,2.6439788341522217,1.7233631610870361,2,False,1,2
3,0,0,1,yes ,yes ,0.99,0.1181119332221055,3.286076784133911,1.6799089908599854,8,False,1,3
4,0,0,0,no ,no ,0.96,0.3698791776274335,2.383455991744995,1.7357890605926514,4,False,1,4
5,1,1,1,yes ,yes ,0.9,0.31841599525460573,2.5849480628967285,2.277745008468628,3,False,1,5
6,0,1,1,yes ,yes ,0.99,0.3882785648474123,3.353541135787964,0.7437248229980469,8,False,1,6
7,0,0,0,no ,no ,0.64,0.11086532343234101,2.477020025253296,1.8797709941864014,4,False,1,7
8,0,0,0,no ,no ,0.86,0.26606049773870777,2.7693889141082764,1.659571886062622,3,False,1,8
9,1,0,0,no ,no ,0.78,0.16086709451185177,3.670926809310913,1.9779059886932373,9,False,1,9
10,0,0,0,no ,no ,0.97,0.2722954600912346,2.884942054748535,1.848262071609497,1,False,1,10
11,0,0,0,no ,no ,0.95,0.2028869310981161,2.7863309383392334,1.6948590278625488,3,False,1,11
12,1,1,1,yes ,yes ,0.99,0.24266504728091506,2.8196239471435547,1.6899046897888184,5,False,1,12
13,1,0,0,no ,no ,0.97,0.1297317853599058,2.5802669525146484,0.9050428867340088,9,False,1,13
14,1,1,1,yes ,yes ,0.99,0.10590050115201907,2.945693016052246,1.677891731262207,3,False,1,14
15,1,1,1,yes ,yes ,0.99,0.21647229485941705,3.327991008758545,2.0291619300842285,5,False,1,15
16,1,1,1,yes ,yes ,0.99,0.37050549560434975,2.5808329582214355,1.682229995727539,9,False,1,16
17,1,0,0,no ,no ,0.8,0.27606763414648783,2.9148690700531006,2.057910203933716,7,False,1,17
18,1,1,1,yes ,yes ,0.99,0.12722372289956724,2.738170862197876,0.7822587490081787,2,False,1,18
19,1,1,1,yes ,yes ,0.99,0.34251756736080413,2.9421021938323975,1.6222560405731201,6,False,1,19
