d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
0.7861,0.4274,1.0814,0.7109,0.9298,0.7544,0.5909,96.3636,21.8182,59.0909
0.1283,0.8945,0.8687,0.5361,0.8246,0.7895,0.5182,85.4545,18.1818,51.8182
