Axis,1,2,3,4,5,6,7,8,9
x,200843,221000,241158,200843,221000,241158,200843,221000,241158
y,161843,161843,161843,182000,182000,182000,202158,202158,202158
z,65915,62085,63899,60876,62085,64302,58860,57046,63496
