Axis,1,2,3,4,5,6,7,8,9
x,335494,269000,206507,304494,280000,218507,356494,278000,216507
y,538494,482494,483494,445000,396000,424000,318000,350000,360000
z,163000,272000,224000,224000,246000,213000,183000,184000,232000
