Axis,1,2,3,4,5,6,7,8,9
x,362494,258000,204507,329494,268000,180507,313494,284000,216507
y,372494,375494,377494,341000,277000,331000,254000,248000,260000
z,225000,284000,364000,242000,317000,366000,244000,240000,363000
