d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs
2.1595,1.8116,-0.2752,0.9366,0.7895,0.0877,0.8636,81.8182,90.9091
2.2006,3.1372,-0.5195,0.9402,0.7193,0.0526,0.8455,74.5455,94.5455
2.1081,0.4122,0.4204,0.932,0.9298,0.2632,0.8455,96.3636,72.7273
