trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,1,1,0,no ,no ,0.76,0.24242439724872183,2.442049026489258,1.0186731815338135,6,False,1,1
2,0,0,0,no ,no ,0.61,0.28907263178447684,2.384397029876709,0.9928221702575684,8,False,1,2
3,0,0,0,no ,no ,0.45,0.15113169416090025,7.672552108764648,0.9590888023376465,4,False,1,3
4,1,0,0,no ,no ,0.89,0.2740351421344475,2.6064770221710205,1.3026208877563477,2,False,1,4
5,0,1,1,yes ,yes ,0.99,0.22625096573541553,2.8866541385650635,1.250312089920044,6,False,1,5
6,0,1,1,yes ,yes ,0.99,0.3584543924157564,2.921828031539917,1.3613340854644775,7,False,1,6
7,0,1,1,yes ,yes ,0.99,0.21361336975309603,2.890800952911377,1.4234271049499512,2,False,1,7
8,0,0,0,no ,no ,0.82,0.1430462513205162,2.3633880615234375,1.6528630256652832,6,False,1,8
9,1,1,1,yes ,yes ,0.93,0.18913656905763587,2.5661299228668213,1.8500597476959229,7,False,1,9
10,1,1,1,yes ,yes ,0.98,0.24001321562869782,6.774786949157715,1.5594549179077148,2,False,1,10
11,0,0,0,no ,no ,0.84,0.3794000152159689,2.5393753051757812,1.1814448833465576,6,False,1,11
12,1,1,1,yes ,yes ,0.99,0.3965954405122115,2.93172025680542,2.023008108139038,8,False,1,12
13,1,1,1,yes ,yes ,0.99,0.24725008031869097,2.8681180477142334,1.6780312061309814,2,False,1,13
14,0,1,1,yes ,yes ,0.99,0.1915774743384708,3.0518908500671387,1.6442418098449707,4,False,1,14
15,1,1,0,no ,no ,0.79,0.20133080668216147,2.3956170082092285,1.784614086151123,6,False,1,15
16,0,1,1,yes ,yes ,0.99,0.1807770308369255,2.778095006942749,1.664228916168213,8,False,1,16
17,0,1,1,yes ,yes ,0.99,0.36568347647961863,2.7893288135528564,2.831631898880005,4,False,1,17
18,1,0,0,no ,no ,0.82,0.2747612531777144,2.4993021488189697,1.5275609493255615,2,False,1,18
19,1,0,0,no ,no ,0.74,0.36283420958392665,7.3773229122161865,1.6475539207458496,9,False,1,19
20,1,0,0,no ,no ,0.9,0.1501762815993733,2.77229905128479,1.657109022140503,4,False,1,20
21,1,0,0,no ,no ,0.84,0.1443243338941533,2.6324100494384766,1.648832082748413,3,False,1,21
22,0,1,1,yes ,yes ,0.99,0.3366070855948481,3.087813138961792,2.356327772140503,8,False,1,22
23,1,0,0,no ,no ,0.82,0.16741106852900003,5.528281927108765,1.9808869361877441,1,False,1,23
24,1,0,0,no ,no ,0.78,0.17318984750501942,2.670485019683838,2.045114755630493,3,False,1,24
25,0,0,0,no ,no ,0.91,0.17095644601417564,2.6088950634002686,1.7546849250793457,8,False,1,25
26,1,1,1,yes ,yes ,0.99,0.27630357570649267,3.8233258724212646,2.167487144470215,1,False,1,26
27,0,0,0,no ,no ,0.86,0.16883371467969505,3.3096330165863037,0.9968838691711426,6,False,1,27
28,1,0,0,no ,no ,0.91,0.26482901919882,2.6618030071258545,1.5868608951568604,8,False,1,28
29,0,1,0,no ,no ,0.9,0.38565471439970644,2.6015920639038086,2.574047088623047,1,False,1,29
30,1,0,0,no ,no ,0.9,0.3686710418359307,2.572765827178955,1.9883708953857422,3,False,1,30
31,1,1,1,yes ,yes ,0.9,0.1815976486392616,2.8370068073272705,3.67448091506958,7,False,1,31
32,1,1,0,no ,no ,0.46,0.1146021457565987,3.2900826930999756,2.742051124572754,9,False,1,32
33,1,0,0,no ,no ,0.86,0.3011220815883931,3.461364984512329,1.3036038875579834,5,False,1,33
34,1,1,0,no ,no ,0.89,0.302180760697488,2.719566822052002,2.187680959701538,7,False,1,34
35,1,0,0,no ,no ,0.96,0.22351520989725154,2.735206127166748,2.2158119678497314,3,False,1,35
36,0,0,0,no ,no ,0.85,0.20085844247311896,2.80458402633667,2.074982166290283,5,False,1,36
37,1,0,0,no ,no ,0.92,0.19628793098548247,2.793048858642578,2.012529134750366,7,False,1,37
38,0,0,0,no ,no ,0.87,0.28536682132566416,2.8251898288726807,1.5976660251617432,9,False,1,38
39,1,1,1,yes ,yes ,0.64,0.3235691405065334,2.854849100112915,3.074249029159546,1,False,1,39
40,0,0,0,no ,no ,0.73,0.3956431290731415,2.8469982147216797,1.7630088329315186,7,False,1,40
41,0,0,0,no ,no ,0.76,0.35104571913743776,2.587303876876831,1.5303528308868408,5,False,1,41
42,0,0,0,no ,no ,0.8,0.392817068704172,2.5435781478881836,1.7363848686218262,9,False,1,42
43,0,0,0,no ,no ,0.66,0.1259889512249995,3.3216729164123535,1.0323870182037354,7,False,1,43
44,1,0,0,no ,no ,0.58,0.37833431339512535,2.548431634902954,1.3942689895629883,1,False,1,44
45,1,0,0,no ,no ,0.9,0.34809058843886814,2.490032196044922,1.5409631729125977,9,False,1,45
46,1,1,0,no ,no ,0.85,0.30843582035127537,2.3980417251586914,3.5725247859954834,3,False,1,46
