Axis,1,2,3,4,5,6,7,8,9
x,200843,221000,241158,200843,221000,241158,200843,221000,241158
y,161843,161843,161843,182000,182000,182000,202158,202158,202158
z,70551,73978,78614,69745,70551,71559,69342,73172,73575
