Axis,1,2,3,4,5,6,7,8,9
x,197843,218000,238158,197843,218000,238158,197843,218000,238158
y,167922,167922,167922,188079,188079,188079,208237,208237,208237
z,84661,86677,91313,88088,86677,92321,87282,88491,94337
