d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs
1.7379,2.327,-0.486,0.8904,0.6491,0.0877,0.7909,67.2727,90.9091
1.0489,0.7454,0.2802,0.7709,0.7895,0.4035,0.7,81.8182,58.1818
1.8494,1.5482,-0.2364,0.9045,0.7544,0.1228,0.8273,78.1818,87.2727
