trial,interactor,cooling,response,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,1,0,0,0.18356267402702278,1.3525011539459229,3.002411127090454,7,False,1,1
2,0,1,0,0.36404417282573354,1.2239999771118164,3.4415910243988037,1,False,1,2
3,0,0,0,0.11320577415448453,1.4278810024261475,3.055347204208374,5,False,1,3
4,2,0,0,0.27826184325753456,1.3121421337127686,3.4478821754455566,9,False,1,4
5,1,1,0,0.19685448563766283,1.338766098022461,4.39921498298645,1,False,1,5
6,0,0,0,0.12634313572963402,1.0490260124206543,4.589039087295532,7,False,1,6
7,1,0,0,0.20553678885539223,0.9958369731903076,3.277669906616211,6,False,1,7
8,0,1,0,0.12177857015624075,0.6985480785369873,2.6592931747436523,1,False,1,8
9,1,1,1,0.37638616224489585,0.4805769920349121,3.547714948654175,7,False,1,9
10,1,0,0,0.31156678306020724,0.6703741550445557,3.895193099975586,3,False,1,10
11,2,0,0,0.29437345374856994,0.7280161380767822,3.497570037841797,5,False,1,11
12,0,0,1,0.39902208412361917,0.5434749126434326,2.8226139545440674,9,False,1,12
13,0,1,0,0.1962746760601902,0.6154148578643799,5.555371046066284,7,False,1,13
14,0,0,0,0.3674848973083178,0.6375980377197266,3.366786241531372,2,False,1,14
15,1,1,1,0.10246406069097351,0.8345253467559814,1.5232200622558594,9,False,1,15
16,2,1,0,0.22704864509497058,0.7515897750854492,3.93001389503479,4,False,1,16
17,1,0,1,0.32128332998657494,0.40648698806762695,4.14949107170105,3,False,1,17
18,0,1,1,0.15698438942539428,0.5095779895782471,0.6881017684936523,8,False,1,18
19,2,1,0,0.326808387887812,1.015531063079834,4.565342903137207,1,False,1,19
20,0,0,0,0.21518690766223458,0.6024341583251953,4.493666648864746,3,False,1,20
21,2,0,0,0.24001111314474524,0.572944164276123,3.4348549842834473,7,False,1,21
22,0,0,0,0.2716510756484334,0.8279049396514893,4.24052619934082,9,False,1,22
23,2,1,1,0.12591949382074186,0.4407169818878174,2.7239279747009277,5,False,1,23
24,0,0,0,0.31507981854269884,0.6770079135894775,4.464222192764282,3,False,1,24
25,0,0,0,0.13751090836081686,1.0078027248382568,4.347249984741211,7,False,1,25
26,0,0,0,0.18773602633979009,0.6822171211242676,3.9657399654388428,9,False,1,26
27,2,0,0,0.22260290264049684,0.6258370876312256,0.837395191192627,5,False,1,27
28,0,1,1,0.3193030421878989,0.5511159896850586,3.108067035675049,3,False,1,28
29,1,1,1,0.34106094384207275,0.5719900131225586,7.777135848999023,1,False,1,29
30,1,0,1,0.3008695373174774,0.723391056060791,3.564406156539917,8,False,1,30
31,0,0,0,0.30319332776232044,0.5877261161804199,4.411880970001221,6,False,1,31
32,2,0,0,0.24354927792802747,0.7701549530029297,3.908764123916626,2,False,1,32
33,2,1,1,0.3120874583179347,0.4493579864501953,6.719561815261841,4,False,1,33
34,1,0,0,0.29951239938670365,0.8080730438232422,4.244024991989136,8,False,1,34
35,1,1,1,0.23958187650002136,0.5649328231811523,4.178583145141602,3,False,1,35
36,0,0,0,0.3971922455300393,0.8626949787139893,3.961947202682495,1,False,1,36
37,2,1,1,0.2933560482556679,0.6396851539611816,6.052309036254883,8,False,1,37
38,1,1,1,0.11672397279822513,0.876514196395874,6.709398984909058,3,False,1,38
39,0,1,0,0.12904717917099737,0.6133518218994141,7.578348875045776,4,False,1,39
40,0,1,1,0.37852578682978055,0.5696251392364502,4.641846179962158,8,False,1,40
41,1,1,1,0.23977395775456553,0.650904655456543,3.2890639305114746,6,False,1,41
42,2,0,0,0.38571526113693866,0.6455931663513184,4.4578611850738525,4,False,1,42
43,0,0,0,0.33300229075734256,1.096059799194336,3.2307639122009277,2,False,1,43
44,2,0,0,0.39759877801298016,0.6308512687683105,3.08561372756958,8,False,1,44
45,2,0,1,0.1623524971920769,0.7706677913665771,2.7424681186676025,4,False,1,45
46,0,1,1,0.3345900327183595,0.465404748916626,2.562796115875244,6,False,1,46
47,2,1,1,0.23434068300719846,0.8108530044555664,0.487720251083374,8,False,1,47
48,0,1,3,0,0,10.337329149246216,1,True,1,48
49,1,0,0,0.34757617871705576,0.6159999370574951,3.5921630859375,6,False,1,49
50,2,1,3,0,0,10.152979850769043,7,True,1,50
51,0,0,0,0.38916287049561804,0.6537022590637207,3.2201428413391113,2,False,1,51
52,1,0,0,0.16424714461379597,0.947904109954834,4.730774641036987,6,False,2,0
53,1,0,0,0.11560961842941632,0.48578882217407227,3.046311140060425,4,False,2,1
54,1,0,1,0.3585456887303452,0.4992241859436035,3.405611038208008,8,False,2,2
