trial,interactor,cooling,response,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,2,0,1,0.2257228993799218,1.5736382007598877,4.342314004898071,7,False,1,1
2,0,0,0,0.1881838576051727,0.493190050125122,4.381635665893555,1,False,1,2
3,0,1,1,0.1831165721576993,0.3572182655334472,1.5399672985076904,3,False,1,3
4,1,0,0,0.2895445995834347,1.980388164520264,4.513898849487305,8,False,1,4
5,2,1,0,0.2108352425598606,0.413161039352417,1.6749978065490725,4,False,1,5
6,0,0,1,0.1968717579465991,0.3991799354553222,4.404750108718872,6,False,1,6
7,0,1,1,0.2828666937101261,0.8158888816833496,3.841853857040405,2,False,1,7
8,1,1,0,0.2002311192592882,0.2672848701477051,0.4976470470428467,4,False,1,8
9,0,1,1,0.1972179178523855,0.4653379917144775,1.7052631378173828,8,False,1,9
10,2,1,1,0.26569814328089264,0.34131813049316406,1.9586267471313477,6,False,1,1
11,1,1,1,0.32072002518399423,0.4029521942138672,1.4830899238586426,1,False,1,2
12,2,0,1,0.20325563584853393,0.48941588401794434,1.6507561206817627,7,False,1,3
13,1,0,0,0.21264342128803362,0.48925209045410156,1.9010372161865234,6,False,1,4
14,0,1,1,0.2065453480811853,0.9716670513153076,1.107658863067627,1,False,1,5
15,0,0,1,0.3255407463771699,0.33655309677124023,1.7066559791564941,7,False,1,6
16,0,1,1,0.3416751834635434,0.37457990646362305,1.39540696144104,5,False,1,7
17,2,0,1,0.21092527119984025,0.6042642593383789,1.4050366878509521,9,False,1,8
18,2,1,0,0.26294397929362134,0.7760148048400879,1.4440712928771973,3,False,1,9
19,1,1,3,0,0,1.4530518054962158,7,True,1,10
20,2,1,1,0.2509079852681175,0.5442891120910645,1.0282719135284424,9,False,1,11
21,1,1,1,0.333253789857618,1.4252898693084717,1.7635791301727295,1,False,1,12
22,1,0,0,0.38780606291718966,5.230865955352783,1.5193920135498047,5,False,1,13
23,1,1,3,0,0,1.4764420986175537,9,True,1,14
24,1,0,0,0.16381628499425177,0.2569901943206787,1.0941667556762695,3,False,1,15
25,2,0,0,0.19938378777438465,0.337954044342041,1.5450489521026611,4,False,1,16
26,0,1,1,0.3234490013225234,0.3414781093597412,1.2435839176177979,8,False,1,17
27,1,0,0,0.1702045996332225,0.4157118797302246,2.019231081008911,2,False,1,18
28,2,0,0,0.22598765151724035,0.2868621349334717,1.8982279300689697,6,False,1,19
29,2,0,0,0.36716176981794524,0.27422213554382324,1.9093120098114014,4,False,1,20
30,2,0,0,0.37644605121402885,0.3210108280181885,2.0371739864349365,2,False,1,21
31,1,1,3,0,0,1.3280830383300781,8,True,1,22
32,0,1,1,0.2540976722585625,0.2812800407409668,5.648638963699341,6,False,1,23
33,1,0,0,0.15454129729821053,1.133268117904663,2.0722639560699463,4,False,1,24
34,0,1,1,0.24683153388607207,0.2676222324371338,1.876697063446045,2,False,1,25
35,0,1,1,0.16134627415804645,1.0143392086029053,0.9876909255981445,9,False,1,26
36,1,1,1,0.3206916145547818,0.39102983474731445,1.0080461502075195,4,False,1,27
37,1,1,1,0.3986977275383222,0.40041112899780273,0.8860669136047363,3,False,1,28
38,2,0,0,0.3404114422143533,0.33267712593078613,1.4147391319274902,8,False,1,29
39,1,1,1,0.28595434967530375,0.35971784591674805,1.4665758609771729,4,False,1,30
40,0,1,1,0.3726268593002481,0.2864201068878174,3.169569969177246,6,False,1,31
41,2,1,0,0.3717664528198349,0.9440009593963623,1.3334059715270996,8,False,1,32
42,2,1,0,0.39487242210032136,0.7106170654296875,1.2209320068359375,4,False,1,33
43,0,0,0,0.22503455413392892,0.27063775062561035,1.124798059463501,2,False,1,34
44,1,1,1,0.3898037936459261,0.2887837886810303,1.643218994140625,9,False,1,35
45,2,0,0,0.32113551195005696,0.6674931049346924,1.517176866531372,4,False,1,36
46,0,0,0,0.1087625415491963,0.31045985221862793,1.2773597240447998,3,False,1,37
47,0,0,0,0.19613416399134653,0.7476611137390137,1.641671895980835,9,False,1,38
48,1,0,0,0.279884482850921,0.2727639675140381,2.0217227935791016,5,False,1,39
49,1,1,0,0.2793154220665706,1.4554319381713867,1.5911450386047363,3,False,1,40
50,1,0,1,0.15902374619851747,0.49480414390563965,6.061902046203613,1,False,1,41
51,0,0,0,0.16784586340731283,0.46878910064697266,1.7325308322906494,8,False,1,42
52,0,0,0,0.16757761865313792,0.3828589916229248,1.5351970195770264,3,False,1,43
53,0,0,0,0.22534331884044537,0.6239972114562988,1.837033987045288,1,False,1,44
54,2,1,1,0.13680335015244582,0.2338089942932129,1.2372188568115234,5,False,1,45
55,0,0,0,0.30036259524361925,0.31330013275146484,1.6171400547027588,3,False,1,46
56,2,0,0,0.12132722503175573,0.292661190032959,1.5469539165496826,7,False,1,47
57,2,1,1,0.22763609163537804,0.3358728885650635,2.5013198852539062,5,False,1,48
58,1,1,1,0.2698720334279008,0.8827898502349854,1.735198974609375,3,False,1,49
59,1,1,1,0.2836926854267223,1.3235759735107422,1.6160249710083008,9,False,1,50
60,2,1,1,0.2305542153894452,0.31742119789123535,3.133173942565918,1,False,1,51
61,1,0,0,0.18459354658355165,0.6785919666290283,1.4260799884796143,3,False,1,52
62,0,1,0,0.20324512934730687,1.0071427822113037,0.9764480590820312,7,False,1,53
63,1,1,1,0.2570163693814743,1.0558381080627441,3.7074711322784424,1,False,1,54
64,1,1,0,0.38680622502570583,0.7733860015869141,2.0847978591918945,5,False,1,55
65,0,0,0,0.29996167609485286,0.37940502166748047,2.298159122467041,3,False,1,56
66,0,1,1,0.27051630161441875,0.839432954788208,3.240417957305908,1,False,1,57
67,0,1,1,0.22550661277530493,0.7218360900878906,1.893730878829956,5,False,1,58
68,1,1,0,0.2933596215713644,0.7271571159362793,0.7551450729370117,7,False,1,59
69,1,0,0,0.2287068978198974,0.3473231792449951,2.8764760494232178,1,False,1,60
70,0,1,1,0.23419990266192128,0.2545900344848633,1.8706047534942627,5,False,1,61
71,0,1,1,0.36334764727917657,0.35010385513305664,1.1598281860351562,9,False,1,62
72,2,1,0,0.3615984496172787,0.3105130195617676,6.578490734100342,1,False,1,63
73,1,1,1,0.3446634946346929,0.3071320056915283,2.330993175506592,5,False,1,64
74,0,1,1,0.1241690907338922,0.5295488834381104,0.8652188777923584,3,False,2,0
75,0,0,0,0.13666482326908763,0.2578999996185303,6.070019960403442,7,False,2,1
76,0,1,1,0.18485988723093716,1.1444690227508545,0.6883931159973145,5,False,2,2
77,2,0,0,0.11522090890951571,0.6423017978668213,2.3456289768218994,9,False,2,3
78,1,0,0,0.3337490224393916,1.094006061553955,1.690033197402954,7,False,2,4
79,2,1,3,0,0,0.97357177734375,2,True,2,5
80,0,0,1,0.146956022962972,0.29186010360717773,2.2508630752563477,9,False,2,6
81,0,0,0,0.2853286676169742,0.3922231197357178,6.160501956939697,7,False,2,7
82,2,1,1,0.20792051907061088,0.5505061149597168,1.6448309421539307,5,False,2,8
83,2,1,1,0.34819478302715945,0.33034610748291016,1.8638999462127686,9,False,2,9
84,0,1,0,0.12570897659501667,1.048841953277588,0.48697876930236816,7,False,2,10
85,2,1,1,0.29632450429978713,0.8400919437408447,1.6683728694915771,5,False,2,11
86,2,0,0,0.39181933352054255,0.31763195991516113,1.400730848312378,1,False,2,12
87,2,0,0,0.3156118283880528,0.9204080104827881,1.2724761962890625,9,False,2,13
88,0,0,0,0.3350298681578694,0.503101110458374,2.0308618545532227,7,False,2,14
89,1,0,0,0.20660418559703353,0.8727269172668457,1.7393217086791992,2,False,2,15
90,0,1,0,0.11923768946075262,2.337369203567505,0.9547750949859619,6,False,2,16
91,1,0,1,0.343284699659231,0.2945549488067627,2.5553290843963623,8,False,2,17
92,1,1,3,0,0,0.9727160930633545,2,True,2,18
93,0,0,0,0.3904006133364536,0.3283212184906006,1.868562936782837,6,False,2,19
94,1,0,0,0.34951885416244005,0.8340001106262207,1.524263858795166,4,False,2,20
95,0,1,1,0.2620728806560162,0.922102689743042,1.2300660610198975,8,False,2,21
96,2,0,0,0.18704118879273168,0.5384221076965332,1.3908851146697998,6,False,2,22
97,1,0,0,0.3144194004887559,0.0027780532836914062,2.399724006652832,2,False,2,23
98,1,0,1,0.32507445685319447,0.21333098411560059,2.6342389583587646,8,False,2,24
99,2,1,1,0.22798176557475275,0.32045412063598633,1.0992062091827393,6,False,2,25
100,1,0,0,0.37541758974911077,0.23242998123168945,1.7373130321502686,2,False,2,26
101,1,0,0,0.2034153784040838,0.2447190284729004,1.7448179721832275,4,False,2,27
102,2,1,0,0.19820009245502535,0.7683000564575195,1.8650062084197998,6,False,2,28
103,0,0,0,0.3480946567801972,0.2411670684814453,1.933243989944458,2,False,2,29
104,2,1,1,0.17552153072274673,0.2990279197692871,3.0710909366607666,4,False,2,30
105,2,0,0,0.22178006102629122,0.30354905128479004,1.3327229022979736,8,False,2,31
106,1,0,0,0.1077961505890664,0.4724857807159424,2.8041510581970215,6,False,2,32
107,2,1,1,0.3448737321041109,0.21226000785827637,1.3916699886322021,2,False,2,33
108,2,1,1,0.3145307587915019,3.799537181854248,3.3480570316314697,8,False,2,34
109,0,1,0,0.1803859933222228,1.4281890392303467,0.5075960159301758,1,False,2,35
110,0,0,0,0.39702596297265436,0.35985708236694336,1.9713201522827148,8,False,2,36
111,1,1,1,0.24886008830691905,0.28458404541015625,5.265217065811157,9,False,2,37
112,0,0,0,0.3060564366536159,1.196491003036499,3.071803092956543,3,False,2,38
113,2,0,0,0.12183526257313501,2.5081989765167236,1.753532886505127,5,False,2,39
114,2,0,1,0.24880832557644042,0.37919068336486816,6.237479209899902,8,False,2,40
115,0,1,3,0,0,10.008667230606079,4,True,2,41
116,2,1,1,0.25011050925848277,0.21522092819213867,2.0781660079956055,2,False,2,42
117,0,0,0,0.2649673529810517,0.3077261447906494,1.8001999855041504,1,False,2,43
118,0,1,3,0,0,10.255397081375122,7,True,2,44
119,0,0,1,0.27425495518397947,0.345782995223999,3.025796890258789,9,False,2,45
120,2,0,0,0.20339070145071395,0.48163700103759766,6.198774814605713,5,False,3,0
121,1,0,0,0.19266280474765318,1.897500991821289,1.5511269569396973,4,False,3,1
122,1,0,0,0.369079432326761,0.2761399745941162,1.755706787109375,1,False,3,2
123,0,0,0,0.38386818486176044,0.7038171291351318,1.2878899574279785,3,False,3,3
124,0,0,0,0.37877476568533497,1.2131657600402832,1.7530601024627686,7,False,3,4
125,2,0,1,0.28720850720597124,0.7308111190795898,1.6890039443969727,2,False,3,5
126,1,0,0,0.35736710965357,0.15816307067871094,1.4216609001159668,6,False,3,6
