d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs
1.5839,1.3973,-0.2112,0.8686,0.7193,0.1579,0.7909,74.5455,83.6364
1.4477,1.2302,-0.1431,0.847,0.7193,0.193,0.7727,74.5455,80.0
1.326,1.1152,-0.0822,0.8258,0.7193,0.2281,0.7545,74.5455,76.3636
