Axis,1,2,3,4,5,6,7,8,9
x,343494,278000,208507,339494,258000,208507,313494,284000,216507
y,415494,379494,387494,354000,287000,345000,244000,253000,270000
z,232000,264000,273000,215000,313000,232000,273000,230000,336000
