Axis,1,2,3,4,5,6,7,8,9
x,197843,218000,238158,197843,218000,238158,197843,218000,238158
y,167922,167922,167922,188079,188079,188079,208237,208237,208237
z,99981,111874,110866,107641,107641,111471,103811,107641,107641
