Axis,1,2,3,4,5,6,7,8,9
x,363494,278000,208507,339494,258000,198507,313494,284000,216507
y,435494,429494,387494,354000,287000,385000,244000,253000,270000
z,182000,204000,273000,215000,313000,262000,273000,230000,336000
