trial,interactor,cooling,response,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,1,1,1,0.3018611147783983,0.9310147762298584,2.3498401641845703,2,False,1,1
2,2,0,0,0.2911781425316823,0.9469108581542969,2.65718412399292,7,False,1,2
3,2,1,1,0.3436688103529405,0.6295502185821533,1.880415916442871,6,False,1,3
4,2,1,1,0.360947609052241,0.8780078887939453,7.3041770458221436,1,False,1,4
5,0,0,0,0.13672162222858192,0.9124829769134521,2.578026056289673,8,False,1,5
6,1,1,1,0.2604717210650526,0.5999140739440918,2.5508038997650146,3,False,1,6
7,0,1,0,0.3850639763110566,0.7593529224395752,3.0189690589904785,4,False,1,7
8,2,0,0,0.1953488805821317,0.8092827796936035,2.7122409343719482,9,False,1,8
9,1,0,0,0.24280481002295495,0.7634398937225342,2.8738949298858643,2,False,1,9
10,2,0,0,0.32556152548383965,0.4994070529937744,2.5553250312805176,7,False,1,10
11,0,1,1,0.15201167752150752,0.5603859424591064,1.1978230476379395,9,False,1,11
12,2,0,0,0.3026077507830712,0.6478259563446045,7.590748071670532,2,False,1,12
13,2,0,0,0.25116739132469773,0.7326018810272217,3.3722572326660156,7,False,1,13
14,0,1,1,0.1608518253518028,0.4129199981689453,3.4778478145599365,6,False,1,14
15,1,1,1,0.1282201628554177,0.5065529346466064,7.460767030715942,1,False,1,15
16,0,1,1,0.30099692138140294,0.32706713676452637,4.55855393409729,8,False,1,16
17,2,0,0,0.13545025868654653,0.6387159824371338,7.338245868682861,6,False,1,17
18,0,0,0,0.3372630074204117,0.7574958801269531,2.222018003463745,4,False,1,18
19,0,0,0,0.3224871613519739,0.8978049755096436,2.767158031463623,8,False,1,19
20,2,0,0,0.12569288256556138,1.0673251152038574,3.224514961242676,3,False,1,20
21,2,0,0,0.31530830084455075,0.49185800552368164,4.821203947067261,4,False,1,21
22,1,0,0,0.354837956310038,0.7102022171020508,2.5098512172698975,9,False,1,22
23,2,1,1,0.24916545725198605,0.5186169147491455,5.35223388671875,3,False,1,23
24,1,0,0,0.15563733414541667,0.9093787670135498,2.8823060989379883,4,False,1,24
25,0,0,0,0.3574233059942885,0.7418458461761475,7.562565088272095,9,False,1,25
26,1,0,0,0.13967726485179277,1.3453099727630615,2.841839075088501,3,False,1,26
27,0,1,0,0.22425711808101978,1.1113231182098389,5.2139880657196045,5,False,1,27
28,2,1,1,0.39276019156558517,4.203445911407471,1.9184942245483398,9,False,1,28
29,1,1,3,0,0,1.8719208240509033,7,True,2,0
30,2,1,3,0,0,1.3887889385223389,5,True,2,1
31,0,0,0,0.11783818134625623,0.816032886505127,2.6098029613494873,9,False,2,2
32,1,1,1,0.18774525515240412,0.585015058517456,1.134361743927002,1,False,2,3
33,0,0,0,0.11952276915906727,0.9152719974517822,2.600200891494751,5,False,2,4
34,2,0,0,0.236101694611269,1.254634141921997,3.5524187088012695,3,False,2,5
35,1,0,0,0.24147426686152684,1.2385599613189697,3.067108154296875,7,False,2,6
36,2,1,1,0.19109028891411478,0.6164209842681885,1.5513060092926025,1,False,2,7
37,2,0,0,0.11260351225683601,1.1061272621154785,7.340104103088379,5,False,2,8
38,2,1,1,0.2021174753660408,0.44185423851013184,1.5463910102844238,7,False,2,9
39,2,0,0,0.2137721812043382,0.9234251976013184,3.0630910396575928,1,False,2,10
40,0,1,1,0.20410310302372858,0.6977829933166504,1.0024809837341309,6,False,2,11
41,0,1,0,0.35516037615856566,1.0408210754394531,1.1912000179290771,8,False,2,12
42,2,1,3,0,0,0.4678220748901367,2,True,2,13
43,2,0,0,0.18480138155413478,1.7133910655975342,2.7682931423187256,6,False,2,14
44,1,1,0,0.2768926575407644,2.0115089416503906,1.6491718292236328,4,False,2,15
45,1,0,0,0.2673644294266968,1.5313489437103271,3.4194648265838623,8,False,2,16
46,1,1,1,0.205571234797007,1.0535259246826172,0.7428610324859619,2,False,2,17
47,2,1,1,0.2592742586778082,0.6859440803527832,1.8202931880950928,6,False,2,18
48,2,1,1,0.13251601744746677,0.7063910961151123,1.5941860675811768,8,False,2,19
49,1,0,0,0.15775088212160657,0.9914810657501221,7.634151935577393,1,False,2,20
50,0,1,1,0.27429073138607885,0.4444301128387451,1.3310868740081787,6,False,2,21
51,1,1,1,0.2779031438866537,0.6722190380096436,1.335911750793457,8,False,2,22
52,2,0,0,0.3902334094736951,0.7753820419311523,3.2862579822540283,4,False,2,23
53,2,1,1,0.22004225710129155,0.4580049514770508,1.913365125656128,6,False,2,24
54,1,0,0,0.1386900751608694,0.6082680225372314,2.8883330821990967,2,False,2,25
55,1,1,1,0.23467974692758142,1.4330050945281982,1.9739038944244385,8,False,2,26
56,1,1,0,0.3216019642679009,0.7333719730377197,1.9850189685821533,4,False,2,27
57,1,1,1,0.32831545189606764,1.7064602375030518,2.7024199962615967,2,False,2,28
58,0,1,1,0.14031018142206364,2.473207950592041,1.290680170059204,6,False,2,29
59,1,0,0,0.13024903765874157,0.8932552337646484,2.7248198986053467,8,False,2,30
60,1,1,1,0.10574181313618869,0.4341740608215332,1.513091802597046,2,False,2,31
61,2,1,0,0.18391480412145533,0.9572000503540039,1.4666330814361572,6,False,2,32
62,0,1,0,0.25527851187565953,1.2922852039337158,2.542999029159546,4,False,2,33
63,1,1,1,0.19615845910675062,0.35480284690856934,1.896315097808838,8,False,2,34
