d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs
2.0028,3.4509,-0.6185,0.9216,0.6491,0.0526,0.8091,67.2727,94.5455
2.4903,8.5602,-0.8622,0.9609,0.6491,0.0175,0.8273,67.2727,98.1818
2.9119,6.6643,-0.6514,0.9803,0.7895,0.0175,0.9,81.8182,98.1818
