trial,delta_stimulation,delta_target,reversed,response,reaction_time,time_delay,stimulus_time,position,failed,n_block,within_block_counter
0,0.2,0.4,False,0,1.5220308303833008,0.2663642162187583,0.8383142948150635,9,False,1,0
1,0.4,0.6000000000000001,False,0,1.0400128364562988,0.18016890116193188,0.6928219795227051,2,False,1,1
0,1.4,1.2,False,1,0.891059160232544,0.2830759057044373,1.8614420890808105,4,False,1,0
1,1.2,1.0,False,1,0.9167213439941406,0.252021814237111,4.85918116569519,1,False,1,1
2,0.6000000000000001,0.6000000000000001,True,1,1.018787145614624,0.14382591851816598,1.5217201709747314,5,False,1,2
3,0.6000000000000001,0.6000000000000001,False,1,1.400892972946167,0.3681793024121709,1.2587990760803223,9,False,1,3
4,0.6000000000000001,0.5000000000000001,False,1,1.014801025390625,0.3955571785509665,1.4475750923156738,6,False,1,4
5,0.5000000000000001,0.6400000000000001,True,0,1.0810070037841797,0.30094877344304244,1.5792672634124756,7,False,1,5
6,0.6400000000000001,0.6400000000000001,True,1,1.0232598781585693,0.18178524190406944,0.9883909225463867,5,False,1,6
2,1.0,0.8,False,1,1.0386240482330322,0.147877450009842,2.9542040824890137,1,False,1,2
7,0.6400000000000001,0.7800000000000001,True,0,1.0339100360870361,0.24155701964510318,0.9629859924316406,2,False,1,7
3,0.8,0.9400000000000001,True,0,0.8544557094573975,0.3965093340968877,1.7144229412078857,7,False,1,3
4,0.9400000000000001,0.9400000000000001,True,1,0.784538984298706,0.2565972809036447,2.334458112716675,6,False,1,4
5,0.9400000000000001,0.9400000000000001,False,1,1.3925280570983887,0.17213250906648764,1.4022798538208008,4,False,1,5
6,0.9400000000000001,0.8400000000000001,False,1,1.1778271198272705,0.1875682217821159,0.980618953704834,3,False,1,6
8,0.7800000000000001,0.9200000000000002,False,0,1.1250579357147217,0.3422220457346301,1.343055009841919,9,False,1,8
7,0.8400000000000001,0.8400000000000001,False,1,1.062777042388916,0.22093370311599347,1.5819518566131592,1,False,1,7
8,0.8400000000000001,0.9800000000000001,True,0,1.0638561248779297,0.27589559653842394,1.2296030521392822,7,False,1,8
9,0.9200000000000002,0.9200000000000002,True,1,0.06082606315612793,0.30184492651702743,2.5165350437164307,2,False,1,9
10,0.9200000000000002,0.9200000000000002,False,1,1.215000867843628,0.3116853311110104,1.9472222328186035,8,False,1,10
11,0.9200000000000002,1.06,True,0,1.6057112216949463,0.17553737605982317,1.3406472206115723,9,False,1,11
0,0.9800000000000001,0.9800000000000001,True,3,0,0,10.12689995765686,3,True,1,9,0,0,0
