trial,interactor,cooling,response,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,0,0,0,0.23057375183241305,0.7857139110565186,3.887101888656616,4,False,1,1
2,0,1,1,0.30846650713366247,0.6065859794616699,2.154717206954956,9,False,1,2
3,2,0,0,0.27809833374633947,1.1935639381408691,2.40280818939209,2,False,1,3
4,0,1,1,0.1492940864370436,1.1459460258483887,2.489231824874878,7,False,1,4
5,2,0,0,0.3856179847823542,0.9659950733184814,2.9333677291870117,6,False,1,5
6,0,0,0,0.20104683533447937,0.9965639114379883,3.8386170864105225,2,False,1,6
7,2,1,1,0.2736911869579769,0.8381538391113281,2.5016229152679443,8,False,1,7
8,1,1,0,0.29396296441191805,0.8058691024780273,3.4784841537475586,4,False,1,8
9,1,0,0,0.22543237544815317,1.1719400882720947,2.3134610652923584,6,False,1,9
10,2,0,1,0.26672337235284127,0.7227251529693604,3.173063039779663,2,False,1,10
11,1,0,0,0.1964728122551997,0.6165261268615723,2.6992199420928955,8,False,1,11
12,2,0,0,0.1008426412876725,0.9192662239074707,3.4703609943389893,4,False,1,12
13,0,0,0,0.10422385080678959,0.8960781097412109,3.4031622409820557,6,False,1,13
14,2,1,1,0.34655035488879155,0.949228048324585,2.656338930130005,2,False,1,14
15,0,0,0,0.3769993590279467,0.5127270221710205,3.1952579021453857,4,False,1,15
16,0,0,0,0.3719555761139476,0.8316888809204102,2.6327428817749023,8,False,1,16
17,1,1,1,0.17518651766613486,0.7371621131896973,2.4659759998321533,6,False,1,17
18,1,0,0,0.3001144316026694,1.126344919204712,3.2102129459381104,1,False,1,18
19,0,0,0,0.36277656936973623,1.046886920928955,2.523798704147339,8,False,1,19
20,2,1,0,0.3560988672328953,2.521925926208496,2.9051389694213867,3,False,1,20
21,0,1,1,0.34644446142950713,0.7477531433105469,5.488221883773804,1,False,1,21
22,1,1,0,0.23133311999514802,1.697585105895996,2.7140119075775146,5,False,1,22
23,2,0,0,0.20494802532351125,1.4142870903015137,2.573080062866211,7,False,1,23
24,0,0,0,0.2137168684520856,0.8150680065155029,2.7710580825805664,9,False,1,24
25,0,1,3,0,0,10.148773908615112,1,True,1,25
26,0,1,0,0.138636083016369,1.2806532382965088,5.784293174743652,7,False,1,26
27,1,1,1,0.22543565611711153,1.0443577766418457,1.085407018661499,5,False,2,0
28,2,0,0,0.1846635134316185,0.9204308986663818,2.8401379585266113,9,False,2,1
29,0,0,0,0.21552687031583728,1.0152907371520996,3.4169938564300537,1,False,2,2
30,1,0,0,0.37997557866113474,1.0498440265655518,3.8938937187194824,7,False,2,3
31,1,0,0,0.3109015856512727,0.9743747711181641,2.889187812805176,5,False,2,4
32,0,0,0,0.32142290316525796,1.222870111465454,3.3746962547302246,9,False,2,5
33,0,1,1,0.26128373629205703,0.9543747901916504,1.4478859901428223,1,False,2,6
34,2,1,1,0.167139102286106,1.1469318866729736,1.5701618194580078,3,False,2,7
35,0,1,0,0.23371347784579596,1.1802589893341064,1.0672869682312012,9,False,2,8
36,0,1,1,0.2607920787002301,0.9286289215087891,1.9989359378814697,1,False,2,9
37,1,1,0,0.13701669180461942,1.1869230270385742,1.5847322940826416,5,False,2,10
38,1,1,1,0.28839920812361236,1.2637078762054443,1.376526117324829,7,False,2,11
39,2,1,1,0.37206907898676844,1.127319097518921,1.4605340957641602,3,False,2,12
40,1,1,0,0.38299809249442285,0.9129617214202881,1.553786277770996,9,False,2,13
41,2,1,1,0.24462991361964445,1.1229748725891113,1.8365423679351807,5,False,2,14
42,1,1,1,0.23312879846878118,1.0245938301086426,1.9450790882110596,1,False,2,15
43,2,1,1,0.268923155955611,0.9703712463378906,0.9748780727386475,3,False,2,16
44,2,0,0,0.12714075992431592,0.933563232421875,2.9876790046691895,9,False,2,17
45,2,0,0,0.24228269683104645,1.6127080917358398,2.195573091506958,5,False,2,18
46,1,0,0,0.2841629172412201,0.6591918468475342,3.847661018371582,7,False,2,19
47,1,1,0,0.2296637601597594,0.7915446758270264,1.3383851051330566,9,False,2,20
48,2,0,0,0.20478341236580128,0.9782390594482422,3.131978988647461,1,False,2,21
49,2,0,0,0.25264789666401066,1.9789409637451172,1.8616039752960205,3,False,2,22
50,0,1,0,0.2738229691576307,1.782243251800537,2.706552028656006,5,False,2,23
51,0,1,0,0.3883150297195088,0.9814422130584717,1.2221629619598389,9,False,2,24
52,2,0,1,0.16236557254439,0.7639608383178711,3.4786460399627686,3,False,2,25
53,1,1,1,0.21942070887420834,0.892021894454956,2.8111472129821777,4,False,2,26
54,1,1,1,0.19417775107595464,1.262834072113037,2.527587652206421,8,False,2,27
55,1,0,0,0.2667156701952901,0.6757040023803711,2.594895839691162,2,False,2,28
56,1,1,1,0.3271692414561258,1.2819530963897705,1.465601921081543,6,False,2,29
57,2,0,0,0.22709761608780793,1.150439739227295,2.0072531700134277,8,False,2,30
58,2,0,0,0.391189155670448,1.5001559257507324,6.056174993515015,4,False,2,31
59,2,1,0,0.14469530519249335,1.4314122200012207,1.5363399982452393,6,False,2,32
60,0,0,0,0.2738934831019756,1.1227612495422363,2.9184820652008057,2,False,2,33
61,2,0,0,0.10016363924223032,1.276249885559082,2.5566678047180176,7,False,2,34
62,1,1,0,0.2587926653884034,2.9463088512420654,1.7159888744354248,6,False,2,35
63,0,1,1,0.27469605629598115,0.6431808471679688,2.5150439739227295,2,False,2,36
64,0,0,0,0.19262042567625726,1.3360528945922852,5.481689929962158,4,False,2,37
65,0,1,0,0.17533926729335364,1.5609591007232666,2.4927492141723633,8,False,2,38
66,0,0,0,0.3149038854188805,1.1238889694213867,3.0968308448791504,6,False,2,39
67,0,1,0,0.22543185122660464,1.5381102561950684,2.213690996170044,4,False,2,40
68,1,0,0,0.38223184194147164,1.6647889614105225,3.7457427978515625,2,False,2,41
69,0,0,0,0.14442276868903964,1.083698034286499,1.6387929916381836,6,False,2,42
70,1,1,1,0.36534373792749775,1.075782060623169,2.603039026260376,4,False,2,43
71,2,0,1,0.11248492619639457,1.2073569297790527,2.721835136413574,2,False,2,44
72,1,0,0,0.37550148135212247,2.199949264526367,5.932369709014893,6,False,2,45
73,1,1,0,0.30548336695455985,1.5881028175354004,3.858217239379883,4,False,2,46
74,0,0,0,0.1049572438979704,0.6657261848449707,3.925481081008911,8,False,2,47
75,1,0,0,0.21095257666794726,1.4761781692504883,2.4950640201568604,2,False,2,48
76,1,0,0,0.23878476558213782,1.5319621562957764,4.22910213470459,6,False,2,49
