Axis,1,2,3,4,5,6,7,8,9
x,322494,248000,188507,319494,248000,208507,333494,264000,226507
y,422494,389494,387494,344000,287000,335000,254000,258000,270000
z,194000,284000,373000,255000,314000,362000,243000,270000,353000
