Axis,1,2,3,4,5,6,7,8,9
x,197843,218000,238158,197843,218000,238158,197843,218000,238158
y,167922,167922,167922,188079,188079,188079,208237,208237,208237
z,106633,110866,117720,107439,107641,117720,103206,106633,119937
