Axis,1,2,3,4,5,6,7,8,9
x,322494,248000,198507,329494,268000,208507,333494,284000,216507
y,422494,369494,397494,344000,287000,335000,254000,258000,260000
z,223000,327000,313000,215000,293000,342000,233000,240000,353000
