Axis,1,2,3,4,5,6,7,8,9
x,192494,140000,87507,192494,140000,87507,192494,140000,87507
y,157507,157507,157507,210000,210000,210000,262494,262494,262494
z,226000,233000,245000,222000,221000,235000,218000,217000,227000
