Axis,1,2,3,4,5,6,7,8,9
x,208843,229000,249158,208843,229000,249158,208843,229000,249158
y,108874,108874,108874,129031,129031,129031,149189,149189,149189
z,8265,10885,15521,6652,6249,11691,5039,4636,8466
