d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
1.7816,0.5253,0.3613,0.8961,0.8947,0.2982,0.8091,92.7273,69.0909,80.9091
1.6828,0.501,0.4107,0.883,0.8947,0.3333,0.7909,92.7273,65.4545,79.0909
