Axis,1,2,3,4,5,6,7,8,9
x,339494,268000,211507,283494,262000,208507,310494,254000,196507
y,503494,435494,430494,414000,346000,395000,304000,308000,330000
z,138000,224000,254000,207000,305000,269000,157000,193000,347000
