Axis,1,2,3,4,5,6,7,8,9
x,200843,221000,241158,200843,221000,241158,200843,221000,241158
y,161843,161843,161843,182000,182000,182000,202158,202158,202158
z,81638,82847,85871,82444,84258,86274,85065,84661,86274
