d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
2.6986,2.0753,-0.2706,0.9718,0.8596,0.0526,0.9182,89.0909,94.5455,91.8182
2.4337,1.3994,-0.1381,0.9574,0.8596,0.0877,0.9,89.0909,90.9091,90.0
