Axis,1,2,3,4,5,6,7,8,9
x,339494,268000,218507,326494,268000,208507,354494,254000,206507
y,468494,416494,390494,314000,314000,365000,348000,328000,350000
z,152000,224000,305000,203000,326000,264000,133000,213000,345000
