d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
2.3082,2.9301,-0.4657,0.9487,0.7544,0.0526,0.8636,78.1818,94.5455,86.3636
2.0819,0.9243,0.0378,0.9295,0.8596,0.1579,0.8636,89.0909,83.6364,86.3636
