Axis,1,2,3,4,5,6,7,8,9
x,200843,221000,241158,200843,221000,241158,200843,221000,241158
y,161843,161843,161843,182000,182000,182000,202158,202158,202158
z,58860,60876,65512,61279,62891,71156,61682,61279,65915
