Axis,1,2,3,4,5,6,7,8,9
x,197843,218000,238158,197843,218000,238158,197843,218000,238158
y,167922,167922,167922,188079,188079,188079,208237,208237,208237
z,77405,73172,73978,75792,72365,73575,72769,69745,76195
