Axis,1,2,3,4,5,6,7,8,9
x,325494,268000,219507,333494,268000,238507,344494,277000,206507
y,480494,439494,445494,413000,362000,388000,304000,310000,330000
z,180000,224000,251000,225000,326000,213000,192000,210000,388000
