trial,delta_stimulation,delta_target,reversed,response,reaction_time,time_delay,stimulus_time,position,failed,n_block,within_block_counter
12,1.08,0.9800000000000001,False,1,0.8125059604644775,0.18523450784180143,1.2154481410980225,7,False,1,17
13,0.9800000000000001,0.9800000000000001,False,1,0.8012323379516602,0.2906280595869081,0.9103920459747314,8,False,1,18
14,0.9800000000000001,0.9800000000000001,False,1,0.6918039321899414,0.2603638028947812,1.1565697193145752,6,False,1,19
15,0.9800000000000001,0.8800000000000001,False,1,0.6978440284729004,0.22815769334600608,1.1519207954406738,4,False,1,20
17,0.2,-0.07999999999999999,True,0,0.8307688236236572,0.2357860747914277,0.9778008460998535,2,False,1,17
16,0.8800000000000001,0.8800000000000001,False,1,0.5653488636016846,0.18686341976001203,1.1201550960540771,7,False,1,21
17,0.8800000000000001,0.8800000000000001,False,1,0.5363941192626953,0.10229646123818041,2.1510002613067627,1,False,1,22
18,0.8800000000000001,0.7800000000000001,False,1,0.44921207427978516,0.3766902848586039,1.8256478309631348,4,False,1,23
19,0.7800000000000001,0.7800000000000001,False,1,0.6397268772125244,0.25614513876410655,1.0526247024536133,3,False,1,24
20,0.7800000000000001,0.7800000000000001,False,1,0.7609469890594482,0.18268310857909675,2.3792548179626465,7,False,1,25
21,0.7800000000000001,0.6800000000000002,False,1,0.5485782623291016,0.27250820777327317,0.7386400699615479,9,False,1,26
18,0.2,0.060000000000000026,False,0,0.6168720722198486,0.35477764800142897,1.0978858470916748,2,False,1,18
22,0.6800000000000002,0.6800000000000002,False,1,0.5846877098083496,0.1925581650736527,3.4541409015655518,8,False,1,27
19,0.2,0.060000000000000026,True,1,0.4725379943847656,0.25402358211355397,1.134476900100708,1,False,1,19
0,0.2,0.060000000000000026,True,3,0,0,0.7673130035400391,9,True,1,20
20,0.2,0.060000000000000026,False,1,0.9230630397796631,0.3685243534981725,0.6669108867645264,2,False,1,21
21,0.2,-0.03999999999999998,False,1,0.6224632263183594,0.1435552276128708,0.4122459888458252,8,False,1,22
23,0.6800000000000002,0.6800000000000002,False,1,0.4554479122161865,0.3423644593161733,0.9296178817749023,3,False,1,28
22,0.2,-0.03999999999999998,False,1,0.30968189239501953,0.1402034233261059,1.0274279117584229,1,False,1,23
23,0.2,-0.03999999999999998,False,1,0.508573055267334,0.22078224864203444,1.2220993041992188,7,False,1,24
24,0.6800000000000002,0.5800000000000002,False,1,0.5770502090454102,0.2757594707388201,0.9996500015258789,9,False,1,29
25,0.5800000000000002,0.5800000000000002,False,1,0.3999330997467041,0.3725575481761174,2.7713677883148193,4,False,1,30
24,0.2,0.10000000000000003,True,0,0.5988540649414062,0.1671992935964972,0.6972231864929199,8,False,1,25
25,0.2,0.24000000000000005,False,0,0.7043192386627197,0.21385028753546104,0.42049098014831543,5,False,1,26
26,0.24000000000000005,0.38000000000000006,False,0,0.44118714332580566,0.12959311423736544,0.8812150955200195,6,False,1,27
26,0.5800000000000002,0.5800000000000002,False,1,0.3283498287200928,0.38105395311572354,1.0691990852355957,9,False,1,31
27,0.38000000000000006,0.52,False,0,0.7562718391418457,0.39188486515191034,1.4290509223937988,2,False,1,28
27,0.5800000000000002,0.7200000000000002,True,0,0.6783301830291748,0.2611077182596132,1.7055070400238037,3,False,1,32
28,0.7200000000000002,0.7200000000000002,True,1,0.5048770904541016,0.2110878391296128,1.9678962230682373,6,False,1,33
28,0.52,0.52,True,1,0.4220438003540039,0.117466886424659,1.3424351215362549,4,False,1,29
29,0.52,0.66,True,0,0.37648606300354004,0.3701475924913411,1.294145107269287,2,False,1,30
30,0.66,0.66,True,1,0.3104739189147949,0.28189978782246417,1.22261381149292,9,False,1,31
31,0.66,0.66,False,1,0.39037108421325684,0.2638218797451619,1.796720027923584,1,False,1,32
29,0.7200000000000002,0.7200000000000002,False,1,1.3018968105316162,0.33064460776801974,4.229885816574097,8,False,1,34
32,0.66,0.56,False,1,0.39188289642333984,0.29370438001352944,1.976311206817627,2,False,1,33
30,0.7200000000000002,0.8600000000000002,True,0,0.3396778106689453,0.3376969036291926,1.5951640605926514,9,False,1,35
33,0.56,0.56,False,1,0.5705480575561523,0.1855931399202953,0.9380526542663574,4,False,1,34
31,0.8600000000000002,0.8600000000000002,True,1,0.5317080020904541,0.284801161706817,7.3919267654418945,8,False,1,36
32,0.8600000000000002,0.8600000000000002,False,1,0.35440587997436523,0.22754063396743063,0.972689151763916,3,False,1,37
33,0.8600000000000002,0.7600000000000002,False,1,0.2728137969970703,0.17376340616446279,2.0741686820983887,1,False,1,38
34,0.56,0.7000000000000001,True,0,0.44424986839294434,0.3942210112582969,1.3338191509246826,9,False,1,35
34,0.7600000000000002,0.7600000000000002,False,1,0.3993380069732666,0.2329672677689201,2.1936607360839844,6,False,1,39
35,0.7600000000000002,0.9000000000000002,True,0,0.5452139377593994,0.19950368359622356,0.5790150165557861,2,False,1,40
36,0.9000000000000002,0.9000000000000002,True,1,0.3233489990234375,0.32987405787861174,1.4978110790252686,8,False,1,41
37,0.9000000000000002,0.9000000000000002,False,1,0.4776601791381836,0.12952063368287733,0.8496029376983643,4,False,1,42
38,0.9000000000000002,0.8000000000000003,False,1,0.2792348861694336,0.21561241277502066,1.152345895767212,6,False,1,43
39,0.8000000000000003,0.8000000000000003,False,1,0.2084488868713379,0.3291363826007925,2.098231077194214,1,False,1,44
40,0.8000000000000003,0.9400000000000003,True,0,0.5602550506591797,0.10458198432015742,1.8000688552856445,2,False,1,45
35,0.7000000000000001,0.7000000000000001,True,1,0.5029828548431396,0.10511736415719342,1.4657061100006104,3,False,1,36
36,0.7000000000000001,0.7000000000000001,False,1,0.8026289939880371,0.1116722709176613,3.183253049850464,7,False,1,37
41,0.9400000000000003,0.9400000000000003,True,1,0.3881700038909912,0.17751087167810883,4.566098928451538,1,False,1,46
0,0.7000000000000001,0.7000000000000001,False,3,0,0,10.09915804862976,8,True,1,38
37,0.7000000000000001,0.6000000000000001,False,1,0.5990781784057617,0.30116638620523106,2.418790817260742,2,False,1,39
42,0.9400000000000003,0.9400000000000003,False,1,0.5140130519866943,0.11876497300100167,1.6240801811218262,3,False,1,47
38,0.6000000000000001,0.7400000000000001,True,0,0.43677592277526855,0.15366896451370637,1.0508158206939697,9,False,1,40
0,0.9400000000000003,0.9400000000000003,False,3,0,0,10.358254194259644,7,True,1,48
43,0.9400000000000003,1.0800000000000003,True,0,0.652886152267456,0.32303576993212046,3.64707088470459,6,False,1,49
44,1.0800000000000003,1.0800000000000003,True,1,0.3214380741119385,0.28523017817672053,2.6807069778442383,1,False,1,50
45,1.0800000000000003,1.0800000000000003,False,1,0.3167862892150879,0.12177633387983007,1.831178903579712,4,False,1,51
46,1.0800000000000003,0.9800000000000003,False,1,0.29217100143432617,0.36979367779823924,1.6719040870666504,2,False,1,52
47,0.9800000000000003,1.1200000000000003,True,0,0.5150821208953857,0.39047150055066293,3.4736430644989014,6,False,1,53
