d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs
0.8227,0.6511,0.5215,0.7196,0.8246,0.5439,0.6455,85.4545,43.6364
0.2909,0.8811,0.4353,0.5815,0.7193,0.614,0.5545,74.5455,36.3636
1.0915,0.3629,0.9287,0.7799,0.9298,0.6491,0.6455,96.3636,32.7273
