trial,interactor,cooling,response,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,1,1,3,0,0,1.2851366996765137,5,True,1,1
2,0,0,1,0.2576414129406348,0.8112530708312988,2.0523929595947266,1,False,1,2
3,0,0,1,0.2730865297719031,0.6975588798522949,2.1318957805633545,7,False,1,3
4,1,0,0,0.21356380245202883,0.6961469650268555,2.3917768001556396,3,False,1,4
5,1,1,3,0,0,1.8622241020202637,9,True,1,5
6,0,1,1,0.20090645631799925,0.7015271186828613,1.1019551753997803,4,False,1,6
7,0,1,1,0.22841208229964538,0.8580348491668701,1.3663220405578613,3,False,1,7
8,1,1,3,0,0,1.6576588153839111,9,True,1,8
9,1,1,1,0.15120698046326161,0.7648530006408691,1.256974220275879,5,False,1,9
10,0,1,1,0.37537653319366115,0.5107090473175049,1.4013822078704834,3,False,1,10
11,1,1,1,0.39904491102879525,0.7068181037902832,0.9875168800354004,9,False,1,11
12,2,1,1,0.3838987969042945,0.695101261138916,2.164757013320923,4,False,1,12
13,0,0,0,0.20318188813135654,0.6479089260101318,1.491283893585205,2,False,1,13
14,0,0,1,0.25290498721386745,1.1130340099334717,1.1685030460357666,8,False,1,14
15,2,0,0,0.3578761759611444,1.0613360404968262,1.4745640754699707,4,False,1,15
16,2,1,1,0.22156336702591278,0.5962450504302979,2.148705005645752,2,False,1,16
17,1,0,1,0.21160387285459867,1.0000317096710205,1.8406031131744385,9,False,1,17
18,2,0,1,0.2166916263236302,0.5909759998321533,2.3697290420532227,4,False,1,18
19,1,0,0,0.30424450461315744,0.6656031608581543,2.4397521018981934,2,False,1,19
20,2,0,1,0.3841171574261978,0.688173770904541,2.372652053833008,6,False,1,20
21,0,1,1,0.17673688796590642,0.5110268592834473,1.331786870956421,8,False,1,21
22,0,0,0,0.1027270231986767,0.6565220355987549,1.3890459537506104,4,False,1,22
23,2,1,1,0.10637020347524649,0.3664572238922119,1.7187228202819824,2,False,1,23
24,0,0,1,0.18872998073739644,0.6575360298156738,1.5251212120056152,9,False,1,24
25,1,0,1,0.3003864804342519,1.1167311668395996,1.0576450824737549,7,False,1,25
26,2,0,1,0.33337006161039884,0.7064850330352783,1.6451599597930908,5,False,1,26
27,0,0,1,0.2845262050144376,0.7157621383666992,1.6284730434417725,1,False,1,27
28,1,1,1,0.10693705946999749,0.3183097839355469,1.5566561222076416,7,False,1,28
29,0,1,0,0.1398846522671482,0.84120774269104,1.7976887226104736,6,False,1,29
30,2,1,1,0.34760234757938213,0.6289358139038086,2.501667022705078,2,False,1,30
31,2,0,1,0.2856671111728013,0.32114577293395996,1.685554027557373,4,False,1,31
32,1,1,0,0.15039424446860009,0.6731560230255127,2.947333812713623,9,False,1,32
33,2,1,1,0.1758353172463894,0.4148867130279541,1.9619140625,3,False,1,33
34,2,0,0,0.38599287895668666,0.6280388832092285,2.0419058799743652,1,False,1,34
35,2,0,1,0.34012124114125886,0.3114309310913086,1.4937400817871094,8,False,1,35
36,0,1,1,0.25743617211195896,0.0524747371673584,1.4356122016906738,3,False,1,36
37,2,0,0,0.255222090316928,0.8530750274658203,1.2924180030822754,1,False,1,37
38,0,1,1,0.1525838443063451,0.7187888622283936,1.3449161052703857,5,False,1,38
39,0,1,1,0.2912261732992857,0.8596670627593994,2.3153269290924072,7,False,1,39
40,1,0,1,0.13933095535314924,0.48641180992126465,2.1631906032562256,9,False,1,40
41,1,1,0,0.28479459785664063,0.8036658763885498,0.991858720779419,5,False,1,41
42,2,0,1,0.2771421642256051,0.38309621810913086,2.1741580963134766,1,False,1,42
43,1,0,1,0.33295870476182343,0.4307548999786377,2.306830883026123,3,False,1,43
44,1,1,1,0.1932904384501668,0.3023560047149658,2.0088131427764893,7,False,1,44
45,1,1,1,0.34692760781127735,0.3410370349884033,1.5809118747711182,1,False,1,45
46,2,1,1,0.10529947256606566,0.4103100299835205,1.4811019897460938,3,False,1,46
47,1,1,0,0.2524415809972189,0.9827630519866943,1.4941117763519287,5,False,1,47
48,2,1,1,0.2533970303911245,0.47931790351867676,2.227140188217163,1,False,1,48
49,1,1,1,0.2155033051207828,0.4267160892486572,2.8275609016418457,7,False,1,49
50,2,1,1,0.3294761166337462,0.5363960266113281,2.621807813644409,6,False,1,50
51,2,0,1,0.17187851291604173,0.3480958938598633,2.348123788833618,2,False,1,51
52,1,0,0,0.25306974839635155,0.9933807849884033,1.584197998046875,8,False,1,52
53,0,0,0,0.3058464497551482,0.7056472301483154,2.6659321784973145,6,False,1,53
54,2,0,1,0.13255639906338185,0.33587098121643066,2.6020307540893555,2,False,1,54
55,1,1,1,0.17830960728944079,0.4325859546661377,3.6355249881744385,4,False,1,55
56,0,1,3,0,0,0.39630913734436035,8,True,1,56
57,0,0,1,0.38168986453981824,0.47678375244140625,2.0145390033721924,6,False,1,57
58,0,1,1,0.2035173318570056,0.30168795585632324,3.06209397315979,4,False,1,58
59,2,1,1,0.22322664779324874,0.4196810722351074,0.4008650779724121,8,False,1,59
60,2,0,1,0.2175377340854806,0.8365440368652344,1.906545877456665,6,False,1,60
61,2,1,1,0.16334678590266,0.25202083587646484,2.7517879009246826,1,False,1,61
62,0,0,1,0.3980288819258192,0.3184168338775635,3.6635959148406982,7,False,1,62
63,2,1,1,0.2659183564834756,0.7868859767913818,3.0385541915893555,3,False,1,63
64,1,0,0,0.25256732515959407,0.7599611282348633,1.8647661209106445,1,False,1,64
65,2,1,1,0.12966940045823624,0.4349172115325928,3.8353657722473145,7,False,1,65
66,0,1,0,0.28319392347360095,0.7372848987579346,0.738929033279419,5,False,1,66
67,2,0,0,0.17940048645653142,0.5659492015838623,2.468780994415283,3,False,1,67
68,2,0,1,0.38024567065807235,1.0537331104278564,1.747239112854004,9,False,2,0
69,1,0,0,0.2532667385217785,0.9410669803619385,1.7874412536621094,7,False,2,1
70,0,0,0,0.33505224623802343,0.8559238910675049,2.1741838455200195,5,False,2,2
71,1,1,1,0.30137075514878464,0.6913561820983887,1.4425110816955566,9,False,2,3
72,0,0,1,0.16402010962866403,0.44102931022644043,2.8127150535583496,7,False,2,4
73,1,0,0,0.27862523026947844,0.5441250801086426,3.1225810050964355,5,False,2,5
74,1,1,1,0.33763408044562093,0.4687838554382324,0.9778778553009033,1,False,2,6
75,0,1,1,0.26586320143416164,0.30025672912597656,0.9899468421936035,9,False,2,7
76,1,1,1,0.2842362228860559,0.4490981101989746,1.1757829189300537,5,False,2,8
77,1,0,1,0.32158270706465053,0.5476710796356201,1.1099910736083984,3,False,2,9
78,0,1,1,0.3664208111245819,0.6101589202880859,1.2125270366668701,1,False,2,10
79,2,1,3,0,0,1.3340940475463867,5,True,2,11
80,0,0,1,0.19452790123897634,0.7772479057312012,1.528904914855957,7,False,2,12
81,1,1,1,0.283692188765577,0.39090800285339355,1.1555571556091309,9,False,2,13
82,0,0,0,0.26926182487861383,0.9486148357391357,2.3593761920928955,2,False,2,14
83,0,1,1,0.2999132405429498,0.5663599967956543,1.306771993637085,4,False,2,15
84,0,1,1,0.16389838727636835,0.7135741710662842,0.8795042037963867,8,False,2,16
85,2,0,1,0.18980648925349128,0.9055290222167969,1.636174201965332,2,False,2,17
86,1,0,0,0.25260503775982057,1.2255361080169678,1.857776165008545,4,False,2,18
87,0,1,1,0.3119206829665033,1.120337963104248,1.2841269969940186,6,False,2,19
88,1,0,0,0.22775151306074606,0.6814320087432861,3.9679160118103027,8,False,2,20
