d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
0.7337,0.6601,0.566,0.698,0.8246,0.5789,0.6273,85.4545,40.0,62.7273
0.9686,0.5623,0.5945,0.7533,0.8596,0.5439,0.6636,89.0909,43.6364,66.3636
0.7726,0.5123,0.8658,0.7076,0.8947,0.6842,0.6091,92.7273,29.0909,60.9091
