trial,delta_stimulation,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed
[],0,1,[],[],[],0.9988641738891602,0.1801445375822041,4.7093541622161865,1,False
0,1.5,3,[],[],[],0,0.1801445375822041,10.051878690719604,4,True
0,1.5,3,[],[],[],0,0.1801445375822041,10.131235837936401,8,True
0,0,1,[],[],[],0.7209577560424805,0.12695667893839938,1.2699930667877197,5,False
0,1.5,1,[],[],[],0.5984327793121338,0.37879352665859656,1.6930201053619385,3,False
0,1.5,1,[],[],[],0.8253262042999268,0.14146861161051805,2.9861669540405273,1,False
