Axis,1,2,3,4,5,6,7,8,9
x,372494,278000,228507,339494,258000,208507,333494,294000,216507
y,392494,396494,387494,354000,307000,345000,264000,268000,280000
z,212000,214000,263000,205000,313000,292000,203000,210000,323000
