participant,condition,dprime,cresponse
0,0,0.8227269252375649,0.5215257105871879
0,1,0.2909065548420473,0.4353048065875267
0,2,1.0915323490344693,0.9287194806427366
1,0,3.0402337813132694,-0.5872277174506644
1,1,3.077455841374064,-0.5825513817669699
1,2,2.698600507002242,-0.2705560051371489
2,0,1.3755808708238355,-0.932065823226352
2,1,1.1830582603592328,-0.5695393908020709
2,2,0.1041869832349122,-0.5815465091622449
3,0,2.5868502614382494,-0.8139194773881744
3,1,1.5541352915034905,-0.5778663209624781
3,2,1.3861012737880358,-0.3100973307685158
4,0,0.9685820003955664,0.5944532481661887
4,1,0.7336878484167033,0.5660452489976187
4,2,0.7726138669342694,0.8658125867980848
5,0,1.583906051671084,-0.2111949418269916
5,1,1.447716285212094,-0.1431000585974966
5,2,1.3259754092461156,-0.0822296206145074
6,0,2.306545932896566,-0.954071641659016
6,1,1.730018506606675,-0.7548470053349322
6,2,2.041332795731458,-1.08667821024157
7,0,1.7378872728397252,-0.4859903302943606
7,1,1.0488717681747346,0.2801604962729329
7,2,1.8494254018871132,-0.2363558200381306
8,0,2.002809564763772,-0.618451476256384
8,1,2.490297914232801,-0.8621956509908986
8,2,2.9119409884675997,-0.6513741138734994
9,0,2.09936191196922,-0.5701753026536598
9,1,1.997336845502785,0.2534510975138271
9,2,2.1595303470745235,-0.2751687931769615
10,0,1.9097077878047728,-0.6650023647358835
10,1,1.9097077878047728,-0.6650023647358835
10,2,2.5868502614382494,-0.8139194773881744
11,0,2.1595303470745235,-0.2751687931769615
11,1,2.20061434264682,-0.5195490873148598
11,2,2.108125655939672,0.4204228271901351
