,subj,exp,touch,dprime,cresponse
0,0,0,0,0.8227269252375649,0.5215257105871879
1,0,0,1,0.29090655484204736,0.4353048065875267
2,0,0,2,1.0915323490344693,0.9287194806427366
3,1,0,0,3.0402337813132694,-0.5872277174506644
4,1,0,1,3.077455841374064,-0.5825513817669699
5,1,0,2,2.698600507002242,-0.27055600513714895
6,2,0,0,1.3755808708238355,-0.9320658232263521
7,2,0,1,1.1830582603592328,-0.5695393908020709
8,2,0,2,0.10418698323491227,-0.5815465091622449
9,3,0,0,2.5868502614382494,-0.8139194773881744
10,3,0,1,1.5541352915034903,-0.5778663209624781
11,3,0,2,1.3861012737880358,-0.3100973307685158
12,4,0,0,0.9685820003955665,0.5944532481661887
13,4,0,1,0.7336878484167033,0.5660452489976187
14,4,0,2,0.7726138669342694,0.8658125867980848
15,5,0,0,1.5839060516710841,-0.21119494182699167
16,5,0,1,1.447716285212094,-0.14310005859749664
17,5,0,2,1.3259754092461156,-0.08222962061450745
18,6,0,0,2.306545932896566,-0.954071641659016
19,6,0,1,1.7300185066066753,-0.7548470053349322
20,6,0,2,2.041332795731458,-1.08667821024157
21,7,0,0,1.7378872728397252,-0.4859903302943606
22,7,0,1,1.0488717681747346,0.2801604962729329
23,7,0,2,1.8494254018871135,-0.23635582003813066
24,8,0,0,2.002809564763772,-0.618451476256384
25,8,0,1,2.490297914232801,-0.8621956509908986
26,8,0,2,2.9119409884675993,-0.6513741138734994
27,9,0,0,2.09936191196922,-0.5701753026536598
28,9,0,1,1.997336845502785,0.25345109751382716
29,9,0,2,2.1595303470745235,-0.2751687931769615
30,10,0,0,1.9097077878047728,-0.6650023647358835
31,10,0,1,1.9097077878047728,-0.6650023647358835
32,10,0,2,2.5868502614382494,-0.8139194773881744
33,11,0,0,2.1595303470745235,-0.2751687931769615
34,11,0,1,2.20061434264682,-0.5195490873148598
35,11,0,2,2.108125655939672,0.4204228271901351
