Axis,1,2,3,4,5,6,7,8,9
x,305494,268000,228507,296494,268000,212507,409494,275000,206507
y,462494,395494,407494,365000,303000,352000,210000,266000,290000
z,187000,182000,230000,238000,276000,253000,153000,210000,324000
