Axis,1,2,3,4,5,6,7,8,9
x,305494,248000,208507,286494,265000,204507,340494,275000,196507
y,462494,415494,407494,375000,313000,359000,263000,266000,290000
z,237000,202000,230000,238000,296000,253000,191000,210000,344000
