trial,delta_stimulation,delta_target,reversed,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed,n_block,within_block_counter
0,1.4,1.2,False,1,yes ,yes ,0.51,3.390281915664673,0.11825980272015638,1.6652119159698486,9,False,1,0
1,1.2,1.0,False,1,yes ,yes ,0.99,2.9238321781158447,0.3010944512771256,1.017284870147705,8,False,1,1
0,0.2,0.1,False,1,yes ,yes ,0.98,2.845621109008789,0.3111103643943771,0.7957510948181152,5,False,1,0
1,0.2,0.24000000000000002,True,0,no ,no ,0.52,6.901315212249756,0.2507640988189471,0.44315385818481445,6,False,1,1
2,0.24000000000000002,0.38,False,0,no ,no ,0.34,2.963203191757202,0.3959720760531734,0.5586390495300293,9,False,1,2
2,1.0,0.8,False,1,yes ,yes ,0.99,2.800262212753296,0.3540595893652688,1.4225671291351318,7,False,1,2
3,0.38,0.38,True,1,yes ,yes ,0.99,2.901344060897827,0.2767891419291889,1.1534881591796875,2,False,1,3
3,0.8,0.6000000000000001,False,1,yes ,yes ,0.99,2.891975164413452,0.324505309003631,1.4968082904815674,3,False,1,3
4,0.38,0.38,False,1,yes ,yes ,0.99,2.7329657077789307,0.2760742817682952,0.7601680755615234,6,False,1,4
5,0.38,0.28,False,1,yes ,yes ,0.99,2.986449718475342,0.24243958040675215,0.9878661632537842,9,False,1,5
6,0.28,0.28,False,1,yes ,yes ,0.99,3.205638885498047,0.3394176002030403,0.4381287097930908,2,False,1,6
4,0.6000000000000001,0.4000000000000001,False,1,yes ,yes ,0.99,2.814455032348633,0.16782321391136762,1.1844158172607422,8,False,1,4
5,0.4000000000000001,0.54,True,0,no ,no ,0.66,2.8675270080566406,0.3411890248822088,0.9321310520172119,1,False,1,5
0,0.28,0.28,False,3,0,0,0,0,0,0.37949395179748535,9,True,1,7
7,0.28,0.42000000000000004,True,0,no ,no ,0.68,2.7785861492156982,0.13570681689642386,0.6891710758209229,4,False,1,8
8,0.42000000000000004,0.56,False,0,no ,no ,0.66,2.8483729362487793,0.32426819986954986,0.7928619384765625,2,False,1,9
6,0.54,0.54,True,1,yes ,yes ,0.99,2.8496592044830322,0.21069585282301692,0.8214569091796875,8,False,1,6
7,0.54,0.68,True,0,nope ,nope ,0.28,2.7637388706207275,0.27978272412024613,0.40073513984680176,9,False,1,7
9,0.56,0.56,True,1,yes ,yes ,0.99,2.902604103088379,0.3133469340667958,0.9975178241729736,4,False,1,10
10,0.56,0.56,False,1,yes ,yes ,0.98,2.6298060417175293,0.10486190843973042,1.0961568355560303,7,False,1,11
8,0.68,0.68,True,1,yes ,yes ,0.99,2.7487332820892334,0.3531659801483189,0.7578198909759521,6,False,1,8
11,0.56,0.7000000000000001,True,0,no ,no ,0.83,2.758465051651001,0.3180753406014425,1.4586029052734375,1,False,1,12
12,0.7000000000000001,0.7000000000000001,True,1,yes ,yes ,0.99,2.793341875076294,0.3561182237006264,0.9195048809051514,2,False,1,13
9,0.68,0.68,False,1,yes ,yes ,0.99,3.000947952270508,0.12961134704362615,1.0930750370025635,4,False,1,9
13,0.7000000000000001,0.7000000000000001,False,1,yes ,yes ,0.99,2.9875478744506836,0.11683010418498406,1.2441980838775635,8,False,1,14
14,0.7000000000000001,0.6000000000000001,False,1,yes ,yes ,0.99,2.7726950645446777,0.34541842591734223,1.4166271686553955,3,False,1,15
15,0.6000000000000001,0.7400000000000001,True,0,no ,no ,0.83,2.974158763885498,0.10176592411188543,0.8188109397888184,2,False,1,16
16,0.7400000000000001,0.7400000000000001,True,1,yes ,yes ,0.99,2.667226791381836,0.1638240816349699,1.1653790473937988,7,False,1,17
0,0.68,0.68,False,3,0,0,0,0,0,0.4521968364715576,4,True,1,10
17,0.7400000000000001,0.7400000000000001,False,1,yes ,yes ,0.99,2.8850338459014893,0.3257213499730481,1.4651799201965332,3,False,1,18
18,0.7400000000000001,0.6400000000000001,False,1,yes ,yes ,0.99,2.850827932357788,0.33578310424826074,1.689729928970337,9,False,1,19
19,0.6400000000000001,0.6400000000000001,False,1,yes ,yes ,0.94,2.758168935775757,0.10018696540756492,1.2102880477905273,6,False,1,20
