d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
1.334,0.8323,0.1376,0.8272,0.7895,0.2982,0.7545,81.8182,69.0909,75.4545
0.4527,1.0969,-0.2044,0.6256,0.5088,0.3333,0.5909,52.7273,65.4545,59.0909
