Axis,1,2,3,4,5,6,7,8,9
x,302494,268000,172507,256494,253000,182507,333494,234000,194507
y,478494,426494,442494,392000,330000,372000,277000,298000,311000
z,140000,226000,366000,155000,293000,303000,214000,344000,323000
