d,beta,c,Ad,hit_rate,fa_rate,correct,percent_hits,percent_crs,percent_all
1.6716,1.0535,-0.0312,0.8814,0.7895,0.193,0.8091,81.8182,80.0,80.9091
2.3082,2.9301,-0.4657,0.9487,0.7544,0.0526,0.8636,78.1818,94.5455,86.3636
