trial,interactor,cooling,response,listened,hypothesis,confidence,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,0,0,0,no ,no ,0.62,0.30959179578717366,2.607283115386963,2.79721999168396,2,False,1,1
2,1,0,0,no ,no ,0.4,0.29364070793331765,3.104771137237549,2.9484832286834717,8,False,1,2
3,0,1,1,yes ,yes ,0.77,0.11015228485620972,2.6284420490264893,1.2841506004333496,6,False,1,3
4,0,0,0,no ,no ,0.44,0.1758961479393053,5.0462939739227295,1.2168769836425781,4,False,1,4
5,0,1,1,yes ,yes ,0.43,0.2980682294293808,2.6528000831604004,0.9781110286712646,8,False,1,5
6,0,1,1,yes ,yes ,0.71,0.2580707580296663,2.4568288326263428,2.824984073638916,3,False,1,6
7,0,0,0,no ,no ,0.65,0.1736188674990437,2.6246511936187744,1.362903118133545,4,False,1,7
8,1,1,1,yes ,yes ,0.79,0.3536083886871152,2.5466458797454834,1.1319708824157715,9,False,1,8
9,1,0,0,no ,no ,0.58,0.10896315556372127,2.6909408569335938,1.1101608276367188,3,False,1,9
10,0,0,0,no ,no ,0.38,0.22712158111468228,2.6233012676239014,1.2532808780670166,5,False,1,10
11,1,0,0,no ,no ,0.28,0.2892623052559812,2.7571027278900146,1.135308027267456,1,False,1,11
12,0,0,1,yes ,yes ,0.82,0.28600007719851345,2.7064051628112793,1.1631712913513184,7,False,1,12
13,0,0,0,now ,now ,0.24,0.21693933625887743,2.817491054534912,1.208763837814331,3,False,1,13
14,1,1,1,yes ,yes ,0.78,0.23086533665173595,2.686583995819092,1.6416170597076416,9,False,1,14
15,0,0,0,no ,no ,0.54,0.3556661673274728,2.5757439136505127,1.1359612941741943,1,False,1,15
16,0,0,0,now ,now ,0.28,0.27749405616435885,2.6003918647766113,2.967424154281616,5,False,1,16
17,0,1,1,yes ,yes ,0.59,0.2234613544414365,2.5314719676971436,2.5183029174804688,7,False,1,17
18,1,1,1,yes ,yes ,0.59,0.33337212461753635,2.556891918182373,1.721224069595337,9,False,1,18
19,0,0,0,no ,no ,0.62,0.2961014764591414,2.5594191551208496,1.2921700477600098,2,False,1,19
20,1,0,1,yeah ,yeah ,0.53,0.3271815521616849,2.3575332164764404,2.978238105773926,4,False,1,20
21,0,0,0,now ,now ,0.28,0.20592598558456457,2.5723800659179688,1.8282480239868164,6,False,1,21
22,1,1,0,now ,now ,0.28,0.2251056355067517,2.5074570178985596,2.0514018535614014,8,False,1,22
23,1,1,1,yes ,yes ,0.91,0.21467726859560363,2.537639856338501,3.059298038482666,4,False,1,23
24,0,1,1,yeah ,yeah ,0.58,0.23066811469300152,2.473806858062744,2.0862388610839844,2,False,1,24
25,1,1,1,yeah ,yeah ,0.5,0.2072072099998879,2.5440499782562256,2.702603816986084,8,False,1,25
26,0,0,1,yeah ,yeah ,0.64,0.19328960770462217,5.508571147918701,2.877211093902588,6,False,1,26
27,0,1,0,nope ,nope ,0.33,0.2901936139531371,2.887578010559082,3.5655710697174072,4,False,1,27
28,1,0,0,no ,no ,0.36,0.3031006985108158,2.601402759552002,1.4320380687713623,2,False,1,28
29,0,0,0,no ,no ,0.65,0.34375439215403375,2.613389730453491,3.0089142322540283,8,False,1,29
30,1,0,0,no ,no ,0.81,0.35243333004199906,2.6746819019317627,1.2945377826690674,6,False,1,30
31,0,1,1,yes ,yes ,0.72,0.14235192441442457,2.4919369220733643,2.66129207611084,2,False,1,31
32,1,1,0,well if no ,well if no ,0.86,0.21318798836941222,8.898668050765991,2.674753189086914,8,False,1,32
33,1,0,0,no ,no ,0.41,0.3567712418194202,5.525653123855591,1.46881103515625,4,False,1,33
34,0,0,0,no ,no ,0.33,0.37762402179308985,2.9480130672454834,2.8218181133270264,6,False,1,34
35,1,0,0,no ,no ,0.74,0.2941167023109774,2.754823923110962,2.9157707691192627,2,False,1,35
36,1,1,1,yeah ,yeah ,0.48,0.3911979028700533,2.4599339962005615,2.8033769130706787,8,False,1,36
37,1,0,0,no ,no ,0.8,0.12741302839490842,2.511376142501831,3.2714040279388428,6,False,1,37
38,0,1,1,yes ,yes ,0.89,0.239990788939159,2.6645588874816895,5.425216913223267,1,False,1,38
39,1,0,0,now I'm ,now I'm ,0.16,0.38870697006690225,2.7518327236175537,1.6040301322937012,7,False,1,39
40,0,0,0,no ,no ,0.38,0.15716497084414768,2.800179958343506,1.3839390277862549,5,False,1,40
41,1,1,0,no ,no ,0.96,0.29936204006451733,6.28953218460083,8.706630945205688,1,False,1,41
42,0,1,3,0,0,0,0,0,10.067214012145996,3,True,1,42
43,1,0,0,no ,no ,0.87,0.2255259978011836,5.904557943344116,1.294220209121704,5,False,1,43
44,1,1,3,0,0,0,0,0,8.433879137039185,9,True,2,0
45,0,0,0,no ,no ,0.21,0.342900112093133,2.721672296524048,3.2141308784484863,3,False,2,1
46,1,0,0,no ,no ,0.53,0.3267289104167176,2.807981014251709,2.9633517265319824,1,False,2,2
47,1,1,3,0,0,0,0,0,2.753788948059082,9,True,2,3
48,1,1,0,no ,no ,0.95,0.22454824431078907,5.465726852416992,2.4541780948638916,7,False,2,4
49,1,0,0,no ,no ,0.61,0.11478931121478425,2.7101869583129883,1.256389856338501,2,False,2,5
50,1,0,0,no ,no ,0.26,0.3631405162471498,2.7306571006774902,1.3901560306549072,6,False,2,6
51,0,1,1,yes ,yes ,0.78,0.3335347706834211,2.4528558254241943,1.0818140506744385,8,False,2,7
52,1,1,1,yes ,yes ,0.85,0.1668491109972765,2.51759672164917,2.4830238819122314,1,False,2,8
53,0,0,1,yes ,yes ,0.8,0.22477429635487423,2.5519397258758545,3.8101730346679688,3,False,2,9
54,1,1,1,yes ,yes ,0.38,0.18800919955409484,2.5212669372558594,1.951936960220337,9,False,2,10
55,0,1,0,no ,no ,0.5,0.18960988038037693,2.56650710105896,1.4668822288513184,7,False,2,11
56,1,1,3,0,0,0,0,0,10.535982847213745,1,True,2,12
57,1,0,0,no ,no ,0.4,0.1884588835722859,2.6930699348449707,2.6910388469696045,6,False,2,13
58,0,1,1,yes ,yes ,0.53,0.35093140053911787,2.485153913497925,1.3753762245178223,8,False,2,14
59,1,1,1,yes ,yes ,0.66,0.12245135291620277,2.403489112854004,1.4509832859039307,4,False,2,15
60,1,0,0,no ,no ,0.34,0.2292211632680758,2.4116110801696777,1.256809949874878,2,False,2,16
61,0,1,1,yes ,yes ,0.87,0.235050583001258,2.544985055923462,0.8912019729614258,6,False,2,17
62,0,0,0,no ,no ,0.54,0.18987612454876956,2.5967609882354736,2.390666961669922,8,False,2,18
63,1,1,0,no ,no ,0.48,0.13769981510458773,2.768630027770996,1.290329933166504,4,False,2,19
64,0,0,0,no ,no ,0.53,0.25363004605147155,2.4600722789764404,1.4327538013458252,3,False,2,20
65,0,0,1,yes ,yes ,0.99,0.34444440475374083,2.650512933731079,2.878728151321411,9,False,2,21
66,1,1,3,0,0,0,0,0,10.284080982208252,5,True,2,22
67,0,1,3,0,0,0,0,0,10.006629228591919,3,True,2,23
68,1,0,0,no ,no ,0.66,0.10763417704340583,2.389479875564575,3.5082051753997803,1,False,2,24
69,1,1,1,yes ,yes ,0.63,0.32594548258808526,2.637083053588867,1.427044153213501,7,False,2,25
70,1,1,3,0,0,0,0,0,1.8723728656768799,9,True,2,26
71,0,0,0,no ,no ,0.48,0.24342470315606304,2.481962203979492,1.1020820140838623,5,False,2,27
72,1,0,0,no ,no ,0.35,0.10608969237127751,2.5928330421447754,1.4069948196411133,7,False,2,28
73,0,0,0,nope ,nope ,0.08,0.30351742485175,3.105254888534546,3.0547068119049072,9,False,2,29
74,0,0,0,nope ,nope ,0.13,0.2622229330803324,2.7585349082946777,3.602748155593872,5,False,2,30
75,1,1,0,no ,no ,0.58,0.28579086544546295,2.5502898693084717,1.7101318836212158,7,False,2,31
76,0,1,3,0,0,0,0,0,10.318566799163818,1,True,2,32
77,0,1,1,yes ,yes ,0.84,0.16095531962921555,2.4730260372161865,1.454456090927124,9,False,2,33
78,0,1,3,0,0,0,0,0,9.996221780776978,5,True,2,34
