,subj,exp,touch,dprime,cresponse
0,0,0,0,0.7888927191974691,0.6842978887652374
1,0,0,1,0.27414786800367175,0.9416703143621361
2,1,0,0,1.7815725378100082,0.3613332513602154
3,1,0,1,1.6828468195606772,0.41069611048488097
4,2,0,0,2.55274543184424,-0.3434835427161498
5,2,0,1,2.6881026921158493,-0.7632932620493744
6,3,0,0,0.7861287742545452,1.0814212680326987
7,3,0,1,0.12829279284567008,0.8687427767831353
8,4,0,0,2.081892216026506,0.037798140350719156
9,4,0,1,2.308213139543696,-0.46574968886642193
10,5,0,0,1.3340493979050891,0.13757168140775572
11,5,0,1,0.4527170386730029,-0.2043687799589561
12,6,0,0,2.698600507002242,-0.27055600513714895
13,6,0,1,2.4336782150781953,-0.13809485917512565
14,7,0,0,2.1293343474848445,-1.0426774343648768
15,7,0,1,2.002809564763772,-0.618451476256384
16,8,0,0,1.6715545815638437,-0.031180910421621688
17,8,0,1,2.308213139543696,-0.46574968886642193
18,9,0,0,2.795701489012725,-0.7094938636009365
19,9,0,1,2.2175068560757047,-0.9985911800694468
20,10,0,0,1.936037140868504,-0.03512939722828168
21,10,0,1,1.5665291739856713,0.14962458621313462
22,11,0,0,2.20061434264682,-0.5195490873148598
23,11,0,1,1.4509200501481903,-0.4356084959075922
